zipcode,sources,pdb_org_id,state,city,region,url,longitude,prefixes,latitude,pch_id,ix_id,country,address,name,iata,alternatenames,geo_id,org_id,pdb_id
,"['he', 'pch']",,,Puerto Madryn,Latin America,http://www.cabase.org.ar/,-65.03170,"{'ipv4': ['200.115.84.0/24'], 'ipv6': ['2001:13c7:6014::/64']}",-42.76940,1823,97,AR,,CABASE IXP Puerto Madryn,,['CABASE-PMY'],3840092,,
,['pch'],,,Rio Gallegos,Latin America,,-69.34179,"{'ipv4': [], 'ipv6': []}",-51.62643,1970,98,AR,,CABASE IXP RIO GALLEGOS,,[],3838859,,
,['pch'],,,Resistencia,Latin America,,-59.06539,"{'ipv4': [], 'ipv6': []}",-27.46064,1819,110,AR,,CABASE IXP Resistencia,,[],3429577,,
,['pch'],,,Rosario,Latin America,,-60.65000,"{'ipv4': ['200.13.83.0/24'], 'ipv6': ['2001:13c7:6008::/48']}",-32.95000,1409,99,AR,,CABASE IXP Rosario,ROS,[],3838583,,
,['pch'],,,Buenos Aires,Latin America,,-58.42000,"{'ipv4': [], 'ipv6': []}",-34.57000,1945,1038,AR,,CABASE IXP Ruteo Central,AEP,[],3435910,,
,['pch'],,,Salta,Latin America,,-65.50067,"{'ipv4': [], 'ipv6': []}",-24.79607,1969,100,AR,,CABASE IXP SALTA,,[],3838233,,
,['pch'],,,San Juan,Latin America,,-68.56770,"{'ipv4': [], 'ipv6': []}",-31.53177,1971,101,AR,,CABASE IXP SAN JUAN,,[],3837213,,
,"['he', 'pch']",,,Saenz Peña,Latin America,http://www.cabase.org.ar,-58.54120,"{'ipv4': ['138.204.248.0/24'], 'ipv6': ['2001:13c7:6020::/64']}",-34.59915,1941,102,AR,,CABASE IXP Saenz Peña,,['CABASE-SZP'],,,
,"['he', 'pch']",,,San Luis,Latin America,http://www.cabase.org.ar,-68.37764,"{'ipv4': ['138.204.244.0/24'], 'ipv6': ['2001:13c7:6016::/64']}",-33.90361,1937,103,AR,,CABASE IXP San Luis,,['CABASE-SLU'],3837056,,
,['pch'],,,Santa Fe,Latin America,,-60.70360,"{'ipv4': ['200.14.74.0/24'], 'ipv6': ['2001:13c7:600d::/48']}",-31.62710,1410,104,AR,,CABASE IXP Santa Fe,,[],3836277,,
,['pch'],,,Tandil,Latin America,,-59.17772,"{'ipv4': [], 'ipv6': []}",-37.31952,1968,105,AR,,CABASE IXP TANDIL,,[],3427833,,
,"['he', 'pch']",,,Tucuman,Latin America,http://www.cabase.org.ar,-66.44136,"{'ipv4': ['138.204.246.0/24'], 'ipv6': ['2001:13c7:6018::/64']}",-27.02088,1940,106,AR,,CABASE IXP Tucuman,,['CABASE-TUC'],3836873,,
,['pch'],,,Viedma,Latin America,,-63.03516,"{'ipv4': [], 'ipv6': []}",-40.82502,1967,107,AR,,CABASE IXP VIEDMA,,[],3832899,,
,['he'],,,Bahía Blanca,Latin America,http://www.cabase.org.ar/,-62.26740,"{'ipv4': ['200.14.37.0/24'], 'ipv6': ['2001:13c7:6009::/64']}",-38.71440,,922,AR,,CABASE-BHB,,[],3865086,,
,['he'],,,Bariloche,Latin America,http://www.cabase.org.ar,-71.31030,"{'ipv4': ['200.115.85.0/24'], 'ipv6': ['2001:13c7:6015::/64']}",-41.13350,,923,AR,,CABASE-BRC,,[],7647007,,
,['he'],,,Concepcion del Uruguay,Latin America,http://www.cabase.org.ar/,-58.23210,"{'ipv4': ['201.182.131.0/24'], 'ipv6': ['2801:168:4::/64']}",-32.48450,,1462,AR,,CABASE-CDU - IX Argentina (Concepcion del Uruguay),,[],3435264,,
,['he'],,,Córdoba,Latin America,http://www.cabase.org.ar/,-64.18580,"{'ipv4': ['200.14.75.0/24'], 'ipv6': ['2001:13c7:600e::/64']}",-31.40360,,925,AR,,CABASE-COR,,[],3860259,,
,['he'],,,De La Costa,Latin America,http://www.cabase.org.ar/,-58.37937,"{'ipv4': ['200.14.39.0/24'], 'ipv6': ['2001:13c7:600c::/64']}",-34.60665,,1105,AR,,CABASE-DLC,,[],,,
,['he'],,,La Plata,Latin America,http://www.cabase.org.ar,-57.96000,"{'ipv4': ['200.115.81.0/24'], 'ipv6': ['2001:13c7:6011::/64']}",-34.92920,,926,AR,,CABASE-LPL,,[],3432043,,
,['he'],,,Mar del Plata,Latin America,http://www.cabase.org.ar/,-57.58000,"{'ipv4': ['200.115.82.0/24'], 'ipv6': ['2001:13c7:6012::/64']}",-37.93000,,1008,AR,,CABASE-MDQ,,[],3430863,,
,['he'],,,Mendoza,Latin America,http://www.cabase.org.ar/,-68.84200,"{'ipv4': ['200.14.38.0/24'], 'ipv6': ['2001:13c7:600b::/64']}",-32.89050,,927,AR,,CABASE-MZA,,[],3844421,,
,['he'],,,Neuquén,Latin America,http://www.cabase.org.ar/,-68.13330,"{'ipv4': ['200.0.19.0/24'], 'ipv6': ['2001:13c7:6007::/64']}",-38.93330,,928,AR,,CABASE-NQN,,[],3843123,,
,['he'],,,Moreno,South America,http://www.cabase.org.ar,,"{'ipv4': [], 'ipv6': []}",,,1463,AR,,CABASE-OGB - IX Argentina (Moreno),,[],3430834,,
,['he'],,,Posadas,Latin America,http://www.cabase.org.ar/,-55.89608,"{'ipv4': ['200.115.83.0/24'], 'ipv6': ['2001:13c7:6013::/64']}",-27.36708,,929,AR,,CABASE-POS,,[],3429886,,
,['he'],,,Argentina,South America,http://www.cabase.org.ar,,"{'ipv4': ['45.68.8.0/22'], 'ipv6': []}",,,1464,AR,,CABASE-PPN - IX Argentina,,[],3865482,,
,['he'],,,Rio Cuarto,South America,http://www.cabase.org.ar,,"{'ipv4': ['201.182.132.0/24'], 'ipv6': []}",,,1465,AR,,CABASE-RCU - IX Argentina (Rio Cuarto),,[],3838874,,
,['he'],,,Rosario,Latin America,http://www.cabase.org.ar/,-60.65000,"{'ipv4': ['200.13.83.0/24'], 'ipv6': ['2001:13c7:6008::/64']}",-32.95000,,930,AR,,CABASE-ROS,,[],3838583,,
,['he'],,,Resistencia,Latin America,http://www.cabase.org.ar,-59.06539,"{'ipv4': [], 'ipv6': []}",-27.46064,,1466,AR,,CABASE-RST - IX Argentina (Resistencia),,[],3429577,,
,['he'],,,Santa Fé,South America,http://www.cabase.org.ar/,,"{'ipv4': ['200.14.74.0/24'], 'ipv6': ['2001:13c7:600d::/64']}",,,111,AR,,CABASE-SFE,,[],,,
,['he'],,,Salta,Latin America,http://www.cabase.org.ar,-65.50067,"{'ipv4': [], 'ipv6': []}",-24.79607,,1708,AR,,CABASE-SLT,,[],3838233,,
,['he'],,,Tandil,Latin America,http://www.cabase.org.ar/,-59.17772,"{'ipv4': [], 'ipv6': []}",-37.31952,,1468,AR,,CABASE-TDL - IX Argentina (Tandil),,[],3427833,,
,['he'],,,San Juan,Latin America,http://www.cabase.org.ar/,-68.56770,"{'ipv4': ['138.204.255.0/24'], 'ipv6': ['2801:168:1::/48']}",-31.53177,,1469,AR,,CABASE-UAQ,,[],3837213,,
,['he'],,,Viedma,Latin America,http://www.cabase.org.ar,-63.03516,"{'ipv4': [], 'ipv6': []}",-40.82502,,1470,AR,,CABASE-VDM - IX Argentina (Viedma),,[],3832899,,
,"['pdb', 'he', 'pch']",596,,Cairo,Africa,http://www.caix.net.eg/,31.40000,"{'ipv4': ['81.21.96.0/24', '81.21.98.0/24'], 'ipv6': ['2001:4300:96::/64']}",30.13000,59,146,EG,26 Ramses Street,Cairo Internet Exchange,CAI,"['CAIX', 'Cairo Internet eXchange']",360630,596,274
,"['pdb', 'he', 'pch']",9713,,Yaoundé,Africa,http://www.camix.cm,11.51642,"{'ipv4': ['196.60.6.0/25', '196.60.7.0/24', '196.49.38.0/25', '196.60.60.0/25', '196.60.6.0/24'], 'ipv6': []}",3.87350,1952,115,CM,Ave Konrad Adenauer,Cameroon Internet Exchange Point - Yaoundé,DLA,"['CAMIX Yaounde', 'Cameroon Internet Exchange Point']",2220957,9713,2554
98800,"['pdb', 'he']",19178,,NOUMEA,Asia Pacific,https://ix.canl.nc,166.469873,"{'ipv4': ['103.23.55.0/24'], 'ipv6': ['2401:c00:1:4::/64']}",-22.247677,,1471,NC,210 Rue Roger Gervolino,CAN L IX,,"[""CAN'L IXP Services"", ""CAN'L IX""]",2139521,19178,3720
20000,"['pdb', 'he', 'pch']",19614,,Casablanca,Africa,https://casix.ma/,-7.65744,"{'ipv4': ['196.60.74.0/24', '169.255.176.0/22'], 'ipv6': []}",33.57245,1917,1039,MA,2 Rue Lakarari,Casablanca Internet Exchange,CMN,"['CAS-IX', 'Casablanca Internet Exchange Point']",2553604,19614,2713
60200,"['pdb', 'he']",3441,,Brno,Europe,http://www.cbix.cz/en/,,"{'ipv4': ['195.60.89.0/24'], 'ipv6': ['2001:7f8:5e::/64']}",,,118,CZ,Cejl 20,CBIX,,['Commercial Brno Internet Exchange'],3078610,3441,477
,['pdb'],13079,DKI Jakarta,,Asia-Pacific,http://www.cdix.id,,"{'ipv4': ['103.30.172.0/23'], 'ipv6': ['2001:df0:f080:cdc::/64']}",,,119,ID,,CDIX,,['Cyber Data Internet Xchange'],1642911,13079,1228
,['he'],,,Jakarta,Asia-Pacific,http://www.cdix.id,106.82944,"{'ipv4': ['103.30.172.0/24'], 'ipv6': ['2001:df0:f080:cdc::/64']}",-6.17444,,1106,ID,,CDIX,,[],1642911,,
,['pch'],,,Los Angeles,North America,,-118.25000,"{'ipv4': ['198.32.146.0/24'], 'ipv6': ['2001:504:a::/64']}",33.97000,1870,120,US,,CENIC International Internet eXchange,,[],5368361,,
,"['pdb', 'he']",29836,,,Asia Pacific,https://ix.centro.net.id,,"{'ipv4': ['103.138.70.64/26', '103.138.70.96/27'], 'ipv6': ['2404:ce40:3::/64']}",,,1668,ID,,CENTRO-IX,,['Centro Internet Exchange'],,29836,4011
,"['pdb', 'he', 'pch']",2670,GE,,Europe,https://www.cixp.net/,,"{'ipv4': ['192.65.185.0/24'], 'ipv6': ['2001:7f8:1c:24a::/64']}",,231,121,CH,,CERN IXP / Equinix Geneva,GVA,"['CIXP', 'CERN Internet eXchange Point']",,2670,33
32819,"['pdb', 'pch']",34,FL,Orlando,North America,http://www.cflix.org,,"{'ipv4': ['206.80.235.0/24'], 'ipv6': []}",,2135,861,US,9701 S John Young Parkway,CFLIX (Central Florida Internet Exchange),,"['Central Florida Internet Exchange', 'Central Florida IX']",4167147,34,2124
,['he'],,,Orlando,North America,http://www.cflix.org,-81.37414,"{'ipv4': [], 'ipv6': []}",28.54151,,1389,US,,CFiX (Central Florida Internet Exchange),,[],4167147,,
,['he'],,,Brazzaville,Africa,http://www.cgix.cg,,"{'ipv4': ['197.255.191.0/24', '196.223.32.0/24'], 'ipv6': ['2c0f:f048::/64']}",,,1709,Congo,,CGIX,,[],,,
2490,"['pdb', 'pch']",14924,,Brazzaville,Africa,http://www.cgix.cg,"['15.29190', 15.272854]","{'ipv4': ['196.223.32.0/24'], 'ipv6': ['2c0f:f048::/64', '2001:43f8:6a0:20::/64']}","['-4.26780', -4.275768]",1541,160,"['Republic of Congo', 'CG']",Immeuble ARPCE91 Bis Avenue de l'Amitié,Congo Brazzaville IX,BZV,"['Congo Internet eXchange', 'CGIX-BZV']",2260535,14924,1046
,['pdb'],14924,,Pointe-Noire,,http://pointe-noire.cgix.cg,,"{'ipv4': ['196.60.56.0/24'], 'ipv6': []}",,,1788,CG,,CGIX-PNR,,"[""Point d'Exchange Internet de Pointe-Noire""]",2255414,14924,4293
,"['pdb', 'he', 'pch']",21034,,,Europe,https://ch-ix.ch,,"{'ipv4': ['185.1.59.0/24'], 'ipv6': ['2001:7f8:cc:333::/64', '2001:7f8:cc::/48']}",,2063,932,CH,,CH Swiss Internet Exchange,,"['CHIX-CH', 'CHIXSWITZERLAND']",,21034,2365
,"['he', 'pch']",,,Beijing,Asia-Pacific,http://www.chn-ix.net,116.28000,"{'ipv4': ['106.48.32.0/19'], 'ipv6': ['2405:3b00::/64']}",39.93000,1913,123,CN,,CHN-IX,,['CHN IX'],1816670,,
101300,"['pdb', 'he']",12935,CN,Beijing,Asia-Pacific,"['http://www.cn-ix.com', 'http://www.chn-ix.net']",116.28000,"{'ipv4': ['106.48.34.0/23', '144.48.88.0/24'], 'ipv6': ['2405:3b00::/64']}",39.93000,,124,CN,"No. 8 Zhu Yuan 3rd StreetTianzhu Free Trade Zone, Shunyi District",CHN-IX Beijing,,"['CHN-IX China Beijing', 'CN-IX Beijing']",1816670,12935,1172
510663,"['pdb', 'he']",12935,Guangdong,Guangzhou,Asia Pacific,"['http://www.cn-ix.com', 'http://www.chn-ix.net']",,"{'ipv4': ['106.48.36.0/23', '103.40.220.0/22', '103.114.240.0/24'], 'ipv6': ['2405:3b01::/64']}",,,125,CN,"6th Floor, G6 Building, South China Advanced Materials Innovation Park31 Kefeng Road, Guangzhou Science City",CHN-IX Guangzhou,,"['CHN-IX China Guangzhou', 'CN-IX Guangzhou']",1809858,12935,1284
,"['pdb', 'he']",12935,,Shanghai,Asia Pacific,"['http://www.cn-ix.com', 'http://www.chn-ix.net']",,"{'ipv4': ['106.48.38.0/23', '43.249.132.0/22', '144.48.89.0/24', '103.214.84.0/22'], 'ipv6': ['2405:3b02::/64']}",,,126,CN,,CHN-IX Shanghai,,"['CN-IX Shanghai', 'CHN-IX China Shanghai']",1796236,12935,1375
,['he'],,,Cape Town,Africa,https://www.inx.net.za,18.60000,"{'ipv4': ['196.223.22.0/23'], 'ipv6': ['2001:43f8:1f1::/64', '2001:43f8:1f1:1::/64']}",-33.98000,,1107,ZA,,CINX,,[],3369157,,
8001,['pdb'],288,Western Cape,Cape Town,Africa,https://www.inx.net.za,,"{'ipv4': [], 'ipv6': ['2001:43f8:1f1:f::/64']}",,,1108,ZA,,CINX Voice,,[],3369157,288,2899
,"['pdb', 'he', 'pch']",14917,,Abidjan,Africa,https://www.civix.ci/,-3.93000,"{'ipv4': ['196.223.4.0/24', '196.49.0.0/24'], 'ipv6': ['2001:43f8:940::/48', '2001:db8::/64']}",5.25000,1801,182,CI,,Côte d'Ivoire Internet Exchange Point,ABJ,"['CIVIX', ""Cote d'Ivoire Internet Exchange Point (CIVIX)""]",2293538,14917,810
,['he'],,,Zagreb,Europe,http://www.cix.hr/,16.03000,"{'ipv4': ['185.1.87.0/24'], 'ipv6': ['2001:7f8:28::/48']}",45.82000,,128,HR,,CIX,,[],3186886,,
61351,"['pdb', 'he']",36108,Jawa Timur,Mojokerto,Asia Pacific,https://cix.co.id,,"{'ipv4': [], 'ipv6': ['2a0e:b107:2050:3::/64']}",,,1789,ID,"02/04, BatankrajanGedeg",CIX-IXP,,['Computing ID Internet Exchange IXP'],1635111,36108,4265
,"['pdb', 'he']",1718,,Ekaterinburg,Europe,http://www.cloud-ix.net/,60.63000,"{'ipv4': ['31.28.29.0/24'], 'ipv6': ['2a00:13c0:3:9::/64']}",56.80000,,131,RU,,CLOUD-IX EKT,,[],1486209,1718,1982
,"['pdb', 'he']",1718,,Kharkov,Europe,http://www.cloud-ix.net/,,"{'ipv4': ['31.28.26.0/24'], 'ipv6': ['2a00:13c0:3:4::/64']}",,,132,UA,,CLOUD-IX KHA,,[],706483,1718,1980
,"['pdb', 'he']",1718,,,Europe,http://www.cloud-ix.net/,,"{'ipv4': ['31.28.16.0/24', '193.222.52.0/24'], 'ipv6': ['2a00:13c0:3:3::/64', '2001:67c:2b8c:a00::/64']}",,,133,UA,,CLOUD-IX KIEV,,[],703448,1718,1981
,"['pdb', 'he']",1718,,,Europe,http://www.cloud-ix.net/,,"{'ipv4': ['31.28.19.0/24'], 'ipv6': ['2a00:13c0:3:1::/64']}",,,134,,,CLOUD-IX MSK,,[],,1718,1977
,"['pdb', 'he']",1718,Sankt-Peterburg,,Europe,http://www.cloud-ix.net/,,"{'ipv4': ['31.28.18.0/24'], 'ipv6': ['2a00:13c0:3:2::/64']}",,,135,RU,,CLOUD-IX SPB,,[],498817,1718,1978
,"['pdb', 'he', 'pch']",17879,,Denpasar,"['Asia Pacific', 'Asia-Pacific']",https://cloudxchange.id,115.15423,"{'ipv4': ['103.225.171.0/24', '103.225.173.0/24', '103.225.172.0/24', '218.100.74.128/25', '103.255.122.0/24'], 'ipv6': ['2400:9c80:0:171::/64', '2400:9c80:0:173::/64', '2400:9c80:0:170::/64', '2400:9c80:0:31::/64']}",-8.67251,2158,1098,ID,,CLOUDXCHANGE-CXC,,['cloudXchange'],1645528,17879,2737
43215,"['pdb', 'he']",21648,OH,Columbus,North America,http://www.cmh-ix.net,-82.995434,"{'ipv4': ['206.82.108.0/24'], 'ipv6': ['2001:504:94::/64']}",39.967631,,933,US,226 North 5th StreetSuite 300,CMH-IX,,['Columbus Internet Exchange'],4509177,21648,2486
,['pdb'],17546,,Beijing,Asia-Pacific,http://www.cn-ix.com,116.28000,"{'ipv4': ['144.48.88.0/24'], 'ipv6': []}",39.93000,,137,CN,,CN-IX-BJ,,[],1816670,17546,1862
,['pdb'],17546,,Guangzhou,Asia Pacific,http://www.cn-ix.com,,"{'ipv4': ['103.40.222.0/24', '103.114.240.0/24', '43.249.132.0/24', '43.249.133.0/24', '43.249.134.0/24'], 'ipv6': []}",,,138,CN,,CN-IX-GZ,,[],1809858,17546,1863
,['pdb'],17546,,Shanghai,Asia Pacific,http://www.cn-ix.com,,"{'ipv4': ['43.249.135.0/24', '144.48.89.0/24', '103.214.84.0/22', '103.40.221.0/24'], 'ipv6': []}",,,139,CN,,CN-IX-SH,,['CN-IX'],1796236,17546,1861
,"['pdb', 'he']",29593,,,Asia-Pacific,http://www.cni.net.id,,"{'ipv4': ['202.87.190.0/23'], 'ipv6': []}",,,1390,ID,,CNI-IX Jakarta,,"['CNI-IX', 'Cyber Network Indonesia - Internet Exchange']",,29593,3532
,"['pdb', 'he']",14112,,Beijing,Asia-Pacific,http://www.cnix.com.cn,116.28000,"{'ipv4': ['103.216.40.0/23'], 'ipv6': ['2404:e780:f872:a::/64']}",39.93000,,141,CN,,CNIX,,['China Internet Exchange'],1816670,14112,1303
,"['pdb', 'he']",31674,,Shenzhen,Asia-Pacific,http://www.cnix.cn,114.06300,"{'ipv4': ['103.168.98.0/23', '103.2.164.0/22', '202.46.224.0/20'], 'ipv6': ['2407:8f40:1::/64', '2407:8f40:1:1::/64', '2407:8f40::/64']}",22.54288,,1472,CN,,CNIXP,,[],1795565,31674,3733
,['he'],,,Phnom Penh,Asia-Pacific,http://cnx.net.kh,104.85000,"{'ipv4': ['103.7.144.0/26'], 'ipv6': ['2001:de8:1d::/64']}",11.55000,,862,KH,,CNX,,[],1821306,,
,"['pdb', 'he']",12909,Sankt-Peterburg,,Europe,http://miran.ru,,"{'ipv4': ['185.1.23.0/24'], 'ipv6': []}",,,142,RU,,CODIX,,[],498817,12909,1229
,['pdb'],10747,,,Latin America,https://www.crix.cr/,,"{'ipv4': ['200.107.83.0/24'], 'ipv6': ['2801:1d:a000:1::/64']}",,,145,CR,,CRIX,,['Costa Rica Internet Exchange'],3621849,10747,1023
,['he'],,,San Jose,Latin America,https://www.crix.cr/,-84.08300,"{'ipv4': ['200.107.83.0/24'], 'ipv6': ['2801:1d:a000:1::/64', '2801:1d:a001:1::/64', '2801:1d:a001:2::/64']}",9.93504,,1348,CR,,CRIX,,[],3621849,,
,"['pdb', 'he']",13848,,,North America,https://cloudsingularity.exchange,,"{'ipv4': ['206.83.46.0/24'], 'ipv6': ['2001:504:9c::/64']}",,,1068,CA,,CSIX,,['CloudSingularity Internet Exchange'],,13848,2776
,"['pdb', 'he']",18878,,,Asia-Pacific,https://www.cslthai-ix.net,,"{'ipv4': ['27.254.18.0/23'], 'ipv6': ['2404:b0:13:b::/64']}",,,980,TH,,CSL Thai-IX Singapore,,['Thai-IX Singapore by CS Loxinfo'],,18878,2494
,"['pdb', 'he', 'pch']",8375,AB,Calgary,North America,http://yycix.ca,,"{'ipv4': ['206.126.225.0/24'], 'ipv6': ['2001:504:2f::/64']}",,1461,147,CA,,Calgary Internet Exchange,YYC,"['YYCIX Calgary Internet Exchange', 'YYCIX']",5913490,8375,639
,"['pdb', 'pch']",13269,Phnom Penh,Phnom Penh,Asia-Pacific,http://cnx.net.kh,,"{'ipv4': ['103.7.144.0/24', '103.7.144.0/25'], 'ipv6': ['2001:de8:1d::/64']}",,1906,148,KH,,Cambodian Network Exchange,PNH,['CNX'],1821306,13269,1209
,"['pdb', 'he', 'pch']",9713,,Douala,Africa,http://www.camix.cm,,"{'ipv4': ['196.60.6.128/25', '196.49.38.128/25'], 'ipv6': ['2001:43f8:d70::/64']}",,2055,978,CM,Bepanda,Cameroon Internet Exchange Point - Douala,,"['CAMIX Douala', 'Cameroon Internet Exchange Point']",2232593,9713,2541
8001,"['pdb', 'pch']",288,Western Cape,Cape Town,Africa,https://www.inx.net.za,,"{'ipv4': ['196.223.22.0/23'], 'ipv6': ['2001:43f8:1f1::/64']}",,206,149,ZA,,Cape Town Internet Exchange,CPT,['CINX'],3369157,288,344
,['pch'],,,Willemstad,Latin America,,-68.88240,"{'ipv4': ['200.0.20.0/24'], 'ipv6': ['2001:7f8:1::/64']}",12.12240,988,150,CW,,Caribbean Internet Exchange,,[],3513090,,
,"['pdb', 'he', 'pch']",9273,Barcelona,,Europe,http://www.catnix.net,,"{'ipv4': ['193.242.98.0/24'], 'ipv6': ['2001:7f8:2a::/64']}",,211,151,ES,,Catalunya Neutral Internet Exchange Point,BCN,"['Catalunya Neutral Internet Exchange', 'CATNIX']",,9273,62
88-300,"['pdb', 'he']",4320,,Mogilno,Europe,http://cepix.pl/,17.961311,"{'ipv4': ['193.8.61.192/26'], 'ipv6': []}",52.651023,,152,PL,Powstancow Wielkopolskich 41A/29,CePIX.pl,,['Central Polish Internet eXchange'],3091523,4320,524
,"['pdb', 'he', 'pch']",4079,,,North America,https://www.centraloregonix.org,,"{'ipv4': ['149.112.8.0/24'], 'ipv6': ['2001:504:101::/64']}",,1795,153,US,,Central Oregon Internet Exchange,,"['Central Oregon Internet eXchange', 'COIX']",,4079,514
,"['pdb', 'he']",12885,,Bremen,Europe,http://www.centralIX.net,8.80170,"{'ipv4': ['185.1.60.0/24'], 'ipv6': ['2001:7f8:9c::/64']}",53.07930,,154,DE,,CentralIX,,['Central Internet Exchange'],2944388,12885,1151
,['pch'],,,Shenzhen,Asia-Pacific,,114.06300,"{'ipv4': ['103.168.98.0/23'], 'ipv6': ['2407:8f40::/64']}",22.54288,2308,1625,CN,,China (Qianhai) Internet Exchange,,[],1795565,,
,"['pdb', 'he', 'pch']",727,,Christchurch,Asia-Pacific,http://chix.nzix.net/,172.55000,"{'ipv4': ['218.100.24.0/24'], 'ipv6': ['2001:7fa:3:5f44::/64']}",-43.48000,165,155,NZ,,Christchurch Internet Exchange,,['CHIX-NZ'],2192362,727,349
,"['pdb', 'he', 'pch']",6718,,,Asia-Pacific,https://www.citraix.net/,,"{'ipv4': ['103.101.137.0/26'], 'ipv6': ['2401:ee00:58:501::/64']}",,2323,1670,ID,,CitranetIX Surakarta,YIA,['Citranet Internet Exchange (CIX)'],,6718,4066
,"['pdb', 'he', 'pch']",6718,,,Asia-Pacific,https://www.citraix.net,,"{'ipv4': ['103.101.136.0/24'], 'ipv6': ['2401:ee00:58:500::/64']}",,2322,156,ID,,CitranetIX Yogyakarta,YIA,['Citranet Internet Exchange (CIX)'],,6718,916
,"['pdb', 'he']",138,Hessen,Frankfurt,Europe,https://city-ix.net,,"{'ipv4': ['185.0.10.0/24'], 'ipv6': ['2001:7f8:e2::/64']}",,,1747,DE,,City-IX Frankfurt,,[],2925533,138,4175
,"['pdb', 'he']",17883,,Beijing,Asia-Pacific,http://www.cnean.com,116.28000,"{'ipv4': ['101.251.128.0/22'], 'ipv6': []}",39.93000,,157,CN,,Cnean,,[],1816670,17883,1886
,"['pdb', 'he', 'pch']",14386,,,North America,http://www.communityix.org,,"{'ipv4': ['206.71.12.0/24'], 'ipv6': ['2001:504:40:12::/64']}",,2172,130,US,,Community IX - Atlanta,,['CIX-ATL'],,14386,1668
,"['pdb', 'he', 'pch']",634,,Berlin,Europe,https://www.community-ix.de/,13.52000,"{'ipv4': ['185.1.74.0/26', '185.1.74.0/25'], 'ipv6': ['2001:7f8:a5::/64']}",52.38000,1990,158,DE,,Community-IX,,['Non-commercial Community Exchange'],2950159,634,1329
,['pch'],,,Vienna,Europe,,16.37000,"{'ipv4': ['185.1.147.0/24'], 'ipv6': ['2001:7f8:ca::/64']}",48.20000,2229,1040,AT,,Community-IX Vienna,,[],2761369,,
,"['pdb', 'he', 'pch']",12004,,,Europe,http://www.community-ix.ch/,,"{'ipv4': ['185.1.105.0/24'], 'ipv6': ['2001:7f8:bf:1::/64', '2001:7f8:bf::/64']}",,2134,159,CH,,Community-IX.ch,ACH2,[],,12004,2013
,['pch'],,,Brisbane,Asia-Pacific,,153.10001,"{'ipv4': ['103.149.217.0/24'], 'ipv6': ['2001:df2:f680:300::/64']}",-27.38000,2231,1194,AU,,Connected IX - Australia,,[],2174003,,
,"['pdb', 'he', 'pch']",34,IL,Chicago,North America,http://www.coresite.com,,"{'ipv4': ['206.51.43.0/24'], 'ipv6': ['2001:504:13:4::/64']}",,928,163,US,,CoreSite - Any2,,"['Any2Chicago', 'CoreSite - Any2Chicago', 'Any2 Chicago']",4887398,34,226
,['pch'],,,Boston,North America,,-71.03000,"{'ipv4': ['206.51.42.0/24'], 'ipv6': ['2001:504:13:7::/64']}",42.37000,1719,161,US,,Coresite - Any 2,,[],4930956,,
,"['pdb', 'he', 'pch']",34,CO,Denver,North America,http://www.coresite.com,,"{'ipv4': ['206.51.46.0/24'], 'ipv6': ['2605:6c00:303:303::/64']}",,1720,164,US,,Coresite - Any 2,,"['Any2 Denver', 'CoreSite - Any2Denver', 'Any2Denver']",5419384,34,254
,"['pdb', 'pch']",34,,,North America,http://www.coresite.com,,"{'ipv4': ['206.51.44.0/24'], 'ipv6': ['2001:504:13:5::/64']}",,1721,165,US,,Coresite - Any 2,,"['CoreSite - Any2Florida', 'Any2Florida']",,34,205
,['pch'],,New Jersey,New York,North America,,-74.00000,"{'ipv4': ['206.51.45.0/24'], 'ipv6': ['2001:504:13:6::/64']}",40.75000,1722,166,US,,Coresite - Any 2,EWR,[],5128581,,
,"['pdb', 'pch']",34,,,North America,http://www.coresite.com,,"{'ipv4': ['206.51.40.0/24'], 'ipv6': ['2001:504:13:1::/64']}",,1723,167,US,,Coresite - Any 2 NorthEast,,"['CoreSite - Any2East', 'Any2East']",,34,204
,['pch'],,,San Jose,North America,,-121.88000,"{'ipv4': ['206.51.41.0/24'], 'ipv6': ['2001:504:13:3::/64']}",37.33000,1724,168,US,,Coresite - Any 2 Northern California,,[],5392171,,
,"['pdb', 'he', 'pch']",8441,,Kraków,Europe,http://www.ix.krakow.pl/,19.80000,"{'ipv4': ['93.159.151.0/24'], 'ipv6': []}",50.08000,723,414,PL,,Cracow Internet Exchange,,"['CIX KR', 'CIX - Cracow Internet Exchange']",3094802,8441,778
,['pch'],,,Simferopol,Europe,,34.10240,"{'ipv4': ['193.34.200.0/24'], 'ipv6': []}",44.95210,1241,1671,RU,,Crimea Internet Exchange,,[],693805,,
,"['pdb', 'he']",610,,Simferopol,Europe,http://crimea-ix.net/,34.10240,"{'ipv4': ['91.194.162.0/24'], 'ipv6': ['2a05:5840:0:ffff::/64']}",44.95210,,170,RU,,Crimea-IX,,[],693805,610,287
10000,"['pdb', 'pch']",2577,,Zagreb,Europe,http://www.cix.hr/,,"{'ipv4': ['185.1.87.0/24'], 'ipv6': ['2001:7f8:28::/48', '2001:7f8:28::/64']}",,51,171,HR,,Croatian Internet Exchange,ZAG,['CIX'],3186886,2577,303
