zipcode,sources,pdb_org_id,state,city,region,url,longitude,prefixes,latitude,pch_id,ix_id,country,address,name,iata,alternatenames,geo_id,org_id,pdb_id
2341,"['pdb', 'pch']",12202,,Lagos,Africa,https://www.ams-ix.net/lag/,,"{'ipv4': ['196.60.58.0/24'], 'ipv6': ['2001:43f8:11f0::/64']}",,2068,976,NG,Chief Chuks Ikokwu StreetEti-Osa,AMS-IX Lagos,,[],2332459,12202,2381
,"['pdb', 'he', 'pch']",2634,,,Asia-Pacific,https://ams-ix.in/,,"{'ipv4': ['223.31.200.0/24'], 'ipv6': ['2001:e48:44:100b::/64']}",,1948,8,IN,,AMS-IX Mumbai,,"['AMS-IX India', 'Amsterdam Internet Exchange Mumbai']",,2634,1623
139964,"['pdb', 'he']",2634,,Singapore,Asia-Pacific,https://www.ams-ix.net/sin/,,"{'ipv4': ['112.137.24.0/24'], 'ipv6': ['2a00:8422:ae5::/64']}",,,1458,SG,20 Ayer Rajah Crescent#05-05/08,AMS-IX Singapore,,['Amsterdam Internet Exchange Singapore'],1880252,2634,3800
,['pch'],,,Luanda,Africa,,13.23000,"{'ipv4': ['196.11.234.0/24'], 'ipv6': ['2001:43f8:9d0::/48']}",-8.85000,1848,10,AO,,ANGONIX,LAD,[],2240449,,
,"['pdb', 'he', 'pch']",13245,,,Asia-Pacific,http://ani-ix.org,,"{'ipv4': ['163.53.87.0/24', '103.154.8.0/24', '45.248.174.0/24', '45.248.172.0/24'], 'ipv6': ['2405:e100:3::/64']}",,2045,857,IN,,ANI Peering Exchange,,['ANI-IX Delhi'],,13245,2210
,['he'],,,Tirana,Europe,http://www.anix.al,19.81870,"{'ipv4': ['185.1.100.0/24'], 'ipv6': ['2001:7f8:bb::/48']}",41.32750,,1291,AL,,ANIX,,[],3183875,,
,['he'],,,Auckland,Asia-Pacific,http://ape.nzix.net/,174.80000,"{'ipv4': ['192.203.154.0/24'], 'ipv6': ['2001:7fa:4:c0cb::/64']}",-37.02000,,12,NZ,,APE,,[],2193733,,
,['he'],,,Gdynia,Europe,http://www.aplix.pl,,"{'ipv4': ['185.42.185.0/24'], 'ipv6': ['2a01:65a0:a5::/48']}",,,1459,PL,,APLIX,,[],3099424,,
,"['pdb', 'he', 'pch']",17295,,"['Pasaje', 'MJC']","['South America', 'Latin America']",http://aprosva.ec,-79.84297,"{'ipv4': ['170.82.112.0/22', '170.82.113.0/27'], 'ipv6': []}",-3.32664,1960,365,EC,,APROSVA Equinix BGT,,"['IXP APROSVA', 'APROSVA-IX-MJC', 'IXP-APROSVA Pasaje']",3653403,17295,3553
,"['pdb', 'he']",14444,,,South America,http://www.cabase.org.ar,,"{'ipv4': ['200.0.17.0/24', '200.115.81.0/24', '200.115.83.0/24', '200.0.19.0/24', '200.13.83.0/24', '200.14.37.0/24', '200.14.75.0/24', '200.14.39.0/24', '200.115.82.0/24', '200.14.38.0/24', '200.115.84.0/24', '200.14.74.0/24', '200.115.85.0/24', '200.115.80.0/24', '138.204.247.0/24', '138.204.245.0/24', '138.204.248.0/24', '138.204.246.0/24', '138.204.244.0/24', '138.204.249.0/24', '138.204.250.0/24', '138.204.254.0/24', '138.204.253.0/24', '138.204.255.0/24', '138.204.251.0/24', '201.182.128.0/24', '201.182.131.0/24', '201.182.132.0/24', '45.68.8.0/22', '138.204.252.0/24'], 'ipv6': ['2001:13c7:6001::/64', '2001:13c7:6009::/64', '2001:13c7:600e::/64', '2001:13c7:600c::/64', '2001:13c7:6010::/64', '2001:13c7:6011::/64', '2001:13c7:6012::/64', '2001:13c7:600b::/64', '2001:13c7:6019::/64', '2001:13c7:6007::/64', '2001:13c7:6017::/64', '2001:13c7:6014::/64', '2001:13c7:6013::/64', '2001:13c7:6008::/64', '2001:13c7:600d::/64', '2001:13c7:6018::/64', '2001:13c7:6016::/64', '2801:168::/64', '2001:13c7:601f::/64', '2001:13c7:601d::/64', '2801:168:2::/64', '2801:168:4::/64', '2801:168:6::/64', '2801:168:3::/64', '2001:13c7:601e::/64', '2801:168:1::/64', '2001:13c7:6015::/64', '2001:13c7:601a::/64', '2001:13c7:601b::/64', '2001:13c7:601c::/64']}",,,1460,AR,,AR-IX Cabase,,['AR-IX Cabase IXP Nacional'],,14444,3788
,['pdb'],25190,CA,,,https://arix.dev/,,"{'ipv4': ['44.190.42.0/24'], 'ipv6': ['2602:801:30ff::/64']}",,,1101,US,,ARIX,,['Amateur Radio Internet Exchange'],5350734,25190,3069
,['he'],,,Fremont,North America,https://arix.dev/,-122.00044,"{'ipv4': ['44.190.42.0/24'], 'ipv6': ['2a0e:8f00:fddd::/64', '2602:801:30ff::/64']}",37.56283,,1443,US,,ARIX,,[],5350734,,
,['pch'],,,Melbourne,Asia-Pacific,,144.97000,"{'ipv4': ['218.100.1.0/24'], 'ipv6': []}",-37.82000,6,16,AU,,AUSIX,,[],2158177,,
85008,['pdb'],3644,AZ,Phoenix,North America,,,"{'ipv4': ['206.223.120.0/24'], 'ipv6': ['2001:504:18::/48']}",,,17,US,615 N. 48th Street,AZIX,,['Arizona Internet Exchange'],5308655,3644,476
,['he'],,,Phoenix,North America,,-112.06840,"{'ipv4': ['206.223.120.0/24'], 'ipv6': ['2001:504:18:a5::/64']}",33.45070,,1236,US,,AZIX,,[],5308655,,
,"['pdb', 'he']",36036,Greater Accra,Accra,Africa,https://accra-ix.net,,"{'ipv4': ['196.60.12.0/24'], 'ipv6': ['2001:7f8:b6:5::/64']}",,,1783,GH,"RackAfrica, 42 Ring Road Central",Accra Internet Exchange LBG,,['Accra Internet Exchange'],2306104,36036,4259
,"['pdb', 'he']",27651,,Ottawa,North America,https://accurix.net/,-75.72000,"{'ipv4': ['149.112.74.0/24'], 'ipv6': ['2001:504:132::/64', '2602:fcd3:600::/64']}",45.40000,,1784,CA,,AccurIX,,[],6094817,27651,4285
,['pch'],,,Beirut,Europe,,35.48000,"{'ipv4': ['192.168.51.0/30'], 'ipv6': []}",33.82000,1964,19,LB,,Advanced Internet Exchange,KYE,[],276781,,
1001,"['pdb', 'pch']",14033,Tirana,Tirana,Europe,http://www.anix.al,19.81870,"{'ipv4': ['185.1.100.0/24', '185.1.100.0/25'], 'ipv6': ['2001:7f8:bb::/48']}",41.32750,1997,11,AL,Rruga e Durrësit 219,Albanian Neutral Internet eXchange,TIA,['ANIX'],3183875,14033,2004
