asciiname,admin2_code,elevation,longitude,dem,feature_code,name,geoname_id,admin1_code,feature_class,population,admin3_code,geo_id,country_code,cc2,admin4_code,latitude,alternatenames
Minneapolis,053,253,-93.26384,262,PPLA2,Minneapolis,5037649,MN,P,410939,43000,5037649,US,,,44.97997,"['city of minneapolis', 'gakaabikaang', 'gorad mineapalis', 'msp', 'min-ni-a-po-li-su', 'mineapoli', 'mineapolis', 'mineapolisa', 'mineápolis', 'minneapolis', 'minneapòlis', 'minnéapolis', 'minyapolis', 'mìn-nì-â-pô-li-sṳ̂', 'mineaporisu', 'minepolisa', 'ming ni a bo li si', 'ming ni ya bo li si', 'miniaepolliseu', 'miniyapolisa', 'miniyappolis', 'minniyapolis', 'mnyapwls', 'mynyabwls', 'mynyapwlys', 'μινεάπολη', 'горад мінеапаліс', 'минеаполис', 'миннеаполис', 'міннеаполіс', 'մինեապոլիս', 'מיניאפוליס', 'منیاپولس', 'مينيابولس', 'مینیاپولیس', 'मिनियापोलिस', 'मिनीयापोलिस', 'মিনিয়াপোলিস', 'મિનેપોલિસ', 'மினியாப்பொலிஸ்', 'మిన్నియాపోలిస్', 'ಮಿನ್ನಿಯಾಪೋಲಿಸ್', 'มินนีแอโพลิส', 'მინეაპოლისი', 'ミネアポリス', '明尼亞波利斯', '明尼阿波利斯', '미니애폴리스']"
Minnetonka,053,275,-93.50329,272,PPL,Minnetonka,5037784,MN,P,51669,43252,5037784,US,,,44.9133,"['city of minnetonka', 'minitonka', 'minnetonka', 'minetongka', 'minetonka', 'mynytwnka', 'минитонка', 'миннетонка', 'міннетонка', 'مينيتونكا', 'مینه\u200cتونکا، مینه\u200cسوتا', 'مینیٹونکا، مینیسوٹا', 'ミネトンカ', '미네통카']"
Fargo,017,276,-96.7898,279,PPLA2,Fargo,5059163,ND,P,118523,25700,5059163,US,,,46.87719,"['centralia', 'far', 'fago', 'fargas', 'fargo', 'fàgo', 'fārgo', 'gorad farga', 'fa ge', 'fago', 'farghw', 'fargw', 'fargw  dakwtay shmaly', 'pago', 'pargo', 'phargo', 'горад фарга', 'фарго', 'фарґо', 'פארגא', 'פארגו', 'فارغو', 'فارگو', 'فارگو، داکوتای شمالی', 'फार्गो', 'ფარგო', 'ファーゴ', '法戈', '파고']"
Omaha,055,323,-95.94043,315,PPLA2,Omaha,5074472,NE,P,443885,92237,5074472,US,,,41.25626,"['oma', 'omacha', 'omaha', 'omakha', 'ao ma ha', 'awmaha', 'awmaha nbraska', 'awmaha  nbraska', 'omaha', 'xo ma ha', 'ομάχα', 'омаха', 'օմահա', 'אומהה', 'أوماها', 'اوماها نبراسكا', 'اوماها، نبراسکا', 'اوماہا، نیبراسکا', 'ओमाहा', 'ওমাহা', 'โอมาฮา', 'ომაჰა', 'オマハ', '奥马哈', '오마하']"
Clifton,031,57,-74.16376,56,PPL,Clifton,5096699,NJ,P,86334,13690,5096699,US,,,40.85843,"['clifton', 'klifton', 'weasel', 'ke li fu dun', 'keullipeuteon', 'klyftwn  nywjrsy', 'kurifuton', 'клифтон', 'کلفٹن، نیو جرسی', 'کلیفتون، نیوجرسی', 'クリフトン', '克利夫頓', '클리프턴']"
Edison,023,27,-74.4121,27,PPL,Edison,5097529,NJ,P,102548,20230,5097529,US,,,40.51872,"['edison', 'edisun', 'ehdison', 'ehdison taunship', 'gmina edison', 'menlo park', 'adyswn  nywjrsy', 'ai di sheng', 'edisana', 'ediseun', 'ejison', 'etican', 'едисон', 'едисън', 'эдисон', 'эдисон тауншип', 'ادیسون، نیوجرسی', 'ایڈیسن، نیو جرسی', 'एडिसन', 'எடிசன்', 'エジソン', '爱迪生', '에디슨']"
Hackensack,003,6,-74.04347,8,PPLA2,Hackensack,5098706,NJ,P,44834,28680,5098706,US,,,40.88593,"['hackensac', 'hackensack', 'hackinsack', 'haginsack', 'khakensak', 'khakkensak', 'new barbadoes', 'ha ken sa ke', 'haekeonsaeg', 'hakkensakku', 'hknsak  nywjrsy', 'хакенсак', 'хаккенсак', 'هکنساک، نیوجرسی', 'ہیکینسیک، نیو جرسی', 'ハッケンサック', '哈肯萨克', '해컨색']"
Newark,013,9,-74.17237,22,PPLA2,Newark,5101798,NJ,P,281944,51000,5101798,US,,,40.73566,"['ewr', ""gorad n'juark"", 'milford', ""n'juark"", 'new worke', 'newark', 'nieworke', 'niouark', 'niuarkas', 'njuark', 'novarcum', 'nuarka', 'nyuark', 'youngs point', ""n'yu'arka"", ""n'yurka"", 'nevark', 'niu hua ke', 'nuvark', 'nwrk', 'nyuaku', 'nyueokeu', 'nywark', 'nywark  nyw jrsy', 'nywark  nywjrsy', 'ņuarka', 'νιούαρκ', 'њуарк', 'горад ньюарк', 'ньюарк', 'нюарк', 'նյուարկ', 'נוארק', 'ניוארק', 'نيوآرك', 'نیوآرک، نیو جرسی', 'نیوآرک، نیوجرسی', 'न्यूअर्क', 'न्यूर्क', 'நுவார்க்', 'నెవార్క్', 'นวร์ก', 'ნიუარკი', 'ニューアーク', '紐華克', '뉴어크']"
North Bergen,017,64,-74.01208,65,PPL,North Bergen,5101879,NJ,P,63484,52470,5101879,US,,,40.80427,"['brgn shmaly  nywjrsy', 'برگن شمالی، نیوجرسی']"
Piscataway,023,30,-74.39904,31,PPL,Piscataway,5102713,NJ,P,56044,20230,5102713,US,,,40.49927,"['new market', 'piscataway', 'piscattaway']"
Secaucus,017,4,-74.05653,7,PPL,Secaucus,5104504,NJ,P,19104,66570,5104504,US,,,40.78955,"['secaucus', 'sehkaukas', 'sikokus', 'sykwks  nywjrsy', 'сикокус', 'сэкаукас', 'سیکوکس، نیوجرسی']"
Weehawken,017,50,-74.02042,46,PPL,Weehawken,5106184,NJ,P,14104,77930,5106184,US,,,40.76955,"['vikhoken', 'weahawk', 'weehawken', 'wiehachen', 'wyhawkn  nyw jrsy', 'wyhawkn  nywjrsy', 'вихокен', 'ویهاوکن، نیو جرسی', 'ویهاوکن، نیوجرسی']"
Brooklyn,047,15,-73.94958,18,PPLA2,Brooklyn,5110302,NY,P,2300664,,5110302,US,,,40.6501,"['bk', 'bklyn', 'borough of brooklyn', 'breuckelen', 'breukelen', 'broklino', 'brooklyn', 'brucclinu', 'bruklin', 'bruklina', 'bruklinas', 'comitatus bruclinum', 'kings county', 'marechkawick', 'beulukeullin', 'bru klin', 'brukalina', 'brwklyn', 'brwqlyn', 'bu lu ke lin qu', 'burukkurin qu', ""kinsa ka'unti"", 'бруклин', 'бруклін', 'ברוקלין', 'بروكلين', 'بروکلین', 'ब्रुकलीन', 'ब्रूकलिन', 'কিংস কাউন্টি', 'ব্রুকলিন', 'บรุกลิน', 'ბრუკლინი', 'ブルックリン区', '布鲁克林区', '브루클린']"
Garden City,059,27,-73.6343,30,PPL,Garden City,5118226,NY,P,22612,34000,5118226,US,,,40.72677,"['garden city', 'garden siti', 'jhc', 'ghardyn syty', 'гарден сити', 'غاردين سيتي', 'گارڈن سٹی، نیو یارک']"
