asciiname,admin2_code,elevation,longitude,dem,feature_code,name,geoname_id,admin1_code,feature_class,population,admin3_code,geo_id,country_code,cc2,admin4_code,latitude,alternatenames
Jeddah,,0,39.19797,21,PPL,Jeddah,105343,14,P,2867446,,105343,SA,,,21.54238,"['chidda', 'cidda', 'ciddae', 'cidde', 'ciddä', 'ciddə', 'djedda', 'djeddah', 'djidda', 'dschidda', 'dzeda', 'dzedda', 'dzhida', 'dzhidda', 'dzhiddae', 'dzhiddat', 'dzhidde', 'dzida', 'dzidd', 'dzidda', 'dzsidda', 'dzudda', 'dżudda', 'džeda', 'džedda', 'džida', 'džidd', 'džidda', 'gedda', 'gidda', 'gido', 'gorad dzhyda', 'iedda', 'jed', 'jaddah', 'jedda', 'jeddah', 'jida', 'jidda', 'jiddah', 'jidde', 'jidá', 'judah', 'juddah', 'tzenta', 'yida', 'yidda', 'zhidda', 'gdh', 'jada', 'jdh', 'jdt', 'jeda', 'jedda', 'jeddaha', 'ji da', 'jida', 'jidda', 'jitta', 'yid dah', 'ĝido', 'ğidda', 'τζέντα', 'џеда', 'горад джыда', 'джида', 'джиддæ', 'джидда', 'джиддат', 'джидде', 'жидда', 'ջիդդա', 'גדה', 'جدة', 'جده', 'جدہ', 'ޖިއްދާ', 'जेद्दाह', 'জেদ্দা', 'ਜੱਦਾ', 'ஜித்தா', 'ജിദ്ദ', 'ญิดดะฮ์', 'ჯიდა', 'ジッダ', '吉达', '吉達', '제다', '지다']"
Riyadh,,0,46.72185,612,PPLC,Riyadh,108410,10,P,4205961,,108410,SA,,,24.68773,"['al-riad', 'al-riyad', 'ar riyadh', 'ar riyādh', 'ar-riaad', 'ar-rijad', 'ar-riyad', 'ar-riyod', 'ar-riyāḑ', 'ehr-rijad', 'er-rijad', 'er-riyad', 'gorad ehr-ryjad', 'ruh', 'riaad', 'riad', 'riade', 'riadi', 'riado', 'riadum', 'riant', 'rihad', 'rijad', 'rijada', 'rijadas', 'rijád', 'rijāda', 'riyad', 'riyadh', 'riyaḍ', 'ríad', 'alryad', 'er-riadi', 'li ya de', 'liyadeu', 'raiyadha', ""ri'ada"", ""ri'adha"", 'riyad', 'riyada', 'riyadh', 'riyadha', 'riyado', 'riyat', 'ryad', 'ryyad', 'ər-riyad', 'ριάντ', 'ар-рияд', 'горад эр-рыяд', 'ер-ріяд', 'рияд', 'ријад', 'эр-рияд', 'ալ-ռիադ', 'ריאד', 'الرياض', 'رىياد', 'رياض', 'ریاض', 'ڕیاز', 'रियाद', 'रियाध', 'রিয়াদ', 'ৰিয়াধ', 'ਰਿਆਧ', 'ରିଆଦ', 'ரியாத்', 'ರಿಯಾಧ್', 'റിയാദ്', 'ริยาด', 'རིས་ཡག', 'ერ-რიადი', 'ሪያድ', 'リヤド', '利雅得', '利雅德', '리야드']"
Limassol,,0,33.03794,27,PPLA,Limassol,146384,05,P,154000,,146384,CY,,,34.68406,"['gorad limasol', 'lemesos', 'lemessus', 'lemesós', 'leymosun', 'limasol', 'limasol shaary', 'limasolis', 'limasolo', 'limassol', 'limisso', 'qli', 'li ma suo er', 'li ma sxl', 'limasol', 'limasoli', 'lymaswl', 'lymswl', 'rimasoru', 'λεμεσός', 'горад лімасол', 'лимасол', 'лимасол шаары', 'лімасол', 'լիմասոլ', 'לימסול', 'ليماسول', 'لیماسول', 'ലിമസ്സോൾ', 'ลีมาซอล', 'ლიმასოლი', 'リマソール', '利马索尔', '리마솔']"
Dar es Salaam,0702,0,39.26951,24,PPLA,Dar es Salaam,160263,23,P,2698652,0702132,160263,TZ,,,-6.82349,"['dar', 'dar es salaam', 'dar es salam', 'dar es salaam', 'dar es salam', 'dar es salamas', 'dar es salams', 'dar es salám', 'dar es-salaam', 'dar es-salam', 'dar əs salam', 'dar-ehs-salam', 'dar-ehs-salam shaary', 'dar-es-salaam', 'dar-es-salam', 'darasalam', 'daresalama', 'daresalamo', 'daressalaam', 'daressalam', 'daruesselam', 'darüsselam', 'dárasalám', 'dār es salām', 'dāresalāma', 'gorad dar-ehs-salam', 'ntar es salam', 'ntontoma', 'da lei si sa la mu', 'daleueseusallam', 'dar alslam', 'dar-es-salami', 'dar-xes-salam', 'dara asa salama', 'dara esa salama', 'daralslam', 'daruesusaramu', 'san lan gang', ""tarus'salam"", 'νταρ ες σαλάμ', 'ντοντόμα', 'горад дар-эс-салам', 'дар ес салам', 'дар ес-салаам', 'дар-ес-салам', 'дар-эс-салам', 'дар-эс-салам шаары', 'דאר א-סלאם', 'דאר עס סאלאאם', 'دار السلام', 'دارالسلام', 'دارېسسالام', 'दार अस सलाम', 'दार एस सलाम', 'ਦਾਰ ਅਸ ਸਲਾਮ', 'தாருஸ்ஸலாம்', 'ดาร์-เอส-ซาลาม', 'ཏ་རེ་སི་ས་ལམ།', 'ဒါအက်စ် ဆယ်လန်းမြို့', 'დარ-ეს-სალამი', 'ダルエスサラーム', '三蘭港', '达累斯萨拉姆', '다르에스살람']"
Nairobi,,0,36.81667,1684,PPLC,Nairobi,184745,05,P,2750547,,184745,KE,,,-1.28333,"['gorad najrobi', 'nbo', 'nairoba', 'nairobi', 'nairobia', 'nairobis', 'nairobo', 'nairoby', 'nairobî', 'nairompi', 'nairòbi', 'nairóbi', 'najrobi', 'najrobo', 'nayrobi', 'nayroobi', 'naíróbí', 'naýrobi', ""na'irobi"", 'nai luo bi', 'nailobi', 'nairobi', 'nairopi', 'nayreabi', 'nayrwby', 'nei luo bi', 'nirobi', 'nyrwby', 'nyyrwby', 'ναϊρόμπι', 'горад найробі', 'найроби', 'найробі', 'најроби', 'նայրոբի', 'נייראבי', 'ניירובי', 'نايروبى', 'نایروبی', 'نایرۆبی', 'نيروبي', 'نیروبی', 'नैरोबी', 'নাইরোবি', 'ਨੈਰੋਬੀ', 'நைரோபி', 'ನೈರೋಬಿ', 'നയ്റോബി', 'ไนโรบี', 'ནའི་རོ་བི།', 'နိုင်ရိုဘီမြို့', 'ნაირობი', 'ናይሮቢ', 'ナイロビ', '内罗毕', '奈洛比', '나이로비']"
Mombasa,,0,39.66359,20,PPLA,Mombasa,186301,37,P,799668,,186301,KE,,,-4.05466,"['gorad mambasa', 'mba', 'mombaaso', 'mombaca', 'mombasa', 'mombassa', 'mombaça', 'mombása', 'mompasa', 'mvita', 'meng ba sa', 'mmbasa', 'momabaka', 'mombasa', 'monbasa', 'mwmbasa', 'mwmbsh', 'μομπάσα', 'горад мамбаса', 'момбаса', 'מומבסה', 'ممباسا', 'مومباسا', 'मोम्बासा', 'মোমবাকা', 'მომბასა', 'モンバサ', '蒙巴萨', '몸바사']"
Kigali,11,0,30.05885,1542,PPLC,Kigali,202061,12,P,745261,1109,202061,RW,,110903,-1.94995,"['gorad kigali', 'kgl', 'kigale', 'kigali', 'kigalis', 'kigalo', 'kigaly', 'kinkali', 'kiqali', 'kígalí', 'ji jia li', 'khikali', 'kigali', 'kigalli', 'kigari', 'kikali', 'kygaly', 'kyghaly', 'κιγκάλι', 'горад кігалі', 'кигали', 'кігалі', 'կիգալի', 'קיגאלי', 'كيغالي', 'کیگالی', 'किगाली', 'ਕਿਗਾਲੀ', 'கிகாலி', 'කිගාලි', 'คิกาลี', 'ཀི་ག་ལི།', 'კიგალი', 'ኪጋሊ', 'キガリ', '吉佳利', '키갈리']"
Djibouti,,0,43.14503,6,PPLC,Djibouti,223817,07,P,623891,,223817,DJ,,,11.58901,"['byen djibouti', 'cibuti', 'dinas jibwti', 'diobuiti', 'diobúití', 'djiboeti', 'djibouti', 'djibouti chhi', 'djibouti chhī', 'djibuti', 'dschibuti', 'dzhibuti', 'dzibuti', 'dzibutis', 'dzjibuty', 'dzjibûty', 'dzsibuti', 'dżibuti', 'džibuti', 'džibutis', 'džíbútí', 'gibuti', 'gibuto', 'gibutum', 'gorad dzhybuci', 'ilu djibouti', 'jib', 'jabuuti', 'jiboti', 'jibouti', 'jibuti', 'lungsod ng djibouti', 'mbanza ya djibuti', 'sita jibouti', 'syudad han djibouti', 'tzimpouti', 'xibuti', 'xibutí', 'yibuti', 'zhibuti shaary', 'ci buti', 'ciputti', 'dzsybwty', 'gybwty', 'jbwty', 'jbwty ʿlaqہ', 'ji bu de shi', 'ji bu ti cheng', 'jibuchi shi', 'jibuti', 'jybwty', 'jybwwty', 'ìlú djibouti', 'ĝibuto', 'τζιμπουτί', 'џибути', 'горад джыбуці', 'джибути', 'джибуті', 'жибути шаары', 'ҷибути', 'ջիբութի', 'גיבוטי', 'דזשיבוטי', 'جبوتی', 'جبوتی علاقہ', 'جيبوتي', 'جیبوتی', 'جیبووتی', 'जिबूती', 'জিবুতি', 'ਜਿਬੂਤੀ', 'சீபூத்தீ', 'จิบูตี', 'ཇི་བའོ་ཊི།', 'ჯიბუტი', 'ジブチ市', '吉布地市', '吉布提城', '지부티']"
Kampala,37,0,32.58219,1223,PPLC,Kampala,232422,C,P,1353189,8644170,232422,UG,,8658346,0.31628,"['campala', 'gorad kampala', 'ikampala', 'kla', 'kaempaala', 'kambaala', 'kampal', 'kampala', 'kampalo', 'kanpala', 'kam pa la', 'kambala', 'kampala', 'kampalla', 'kan pa la', 'kanpara', 'kapala', 'kmpala', 'qmplh', 'καμπάλα', 'горад кампала', 'кампала', 'կամպալա', 'קאמפאלא', 'קמפלה', 'كامبالا', 'كامپالا', 'کامپالا', 'کمپالا', 'کمپالہ', 'कंपाला', 'कम्पाला', 'ਕੰਪਾਲਾ', 'କାମ୍ପାଲା', 'கம்பாலா', 'กัมปาลา', 'ཀམ་པ་ལ།', 'კამპალა', 'ካምፓላ', 'カンパラ', '坎帕拉', '캄팔라']"
Aqaba,,0,35.00778,46,PPLA,Aqaba,250774,21,P,95048,,250774,JO,,,29.52667,"['aqj', 'akaba', 'akabe', ""al-'aqabah"", 'al-‘aqabah', 'aqaba', 'qal`at el `aqaba', '`aqaba', 'akaba', 'ya ke ba', 'акаба', 'עקבה', 'العقبة', 'عقبه', 'アカバ', '亞喀巴']"
Metamorfosi,445408,0,23.76356,173,PPLA3,Metamórfosi,259128,ESYE31,P,29891,9173,259128,GR,,,38.06576,"['koukouvaounai', 'koukouvaounes', 'koukouváounai', 'koukouváounes', 'metamorfosi', 'κουκουβάουναι', 'κουκουβάουνες', 'μεταμόρφωση']"
Koropi,445406,0,23.87181,130,PPLA3,Koropí,259251,ESYE31,P,19164,9218,259251,GR,,,37.89886,"['kekropia', 'koropi', 'koropia', 'koropion', 'koropí', 'koropíon', 'κεκρωπία', 'κοροπίον', 'κορωπί', 'κορωπία', 'κορωπίον']"
Athens,445408,70,23.71622,42,PPLC,Athens,264371,ESYE31,P,664046,9186,264371,GR,,,37.97945,"['ath', 'afina', 'afini', 'afiny', 'an aithin', 'ateena', 'atehny', 'aten', 'atena', 'atenai', 'atenas', 'atenas - athena', 'atenas - αθήνα', 'atene', 'atenes', 'ateni', 'ateno', 'atenoj', 'ateny', 'athen', 'athena', 'athenae', 'athenai', 'athene', 'athenes', 'athens', 'atheny', 'athina', 'athinai', 'athinia', 'athènes', 'athén', 'athénes', 'athény', 'athína', 'athínai', 'atina', 'atény', 'atēnas', 'atėnai', 'aþena', 'kota athena', 'lungsod ng athina', 'lungsod ng athína', 'atene', 'atene si', 'ateni', 'athensa', 'athyna', 'atn', 'etens', 'xethens', 'ya dian', 'αθήνα', 'αθήναι', 'αθηνα', 'αθηναι', 'атина', 'атэны', 'афины', 'афіни', 'аѳины', 'աթենք', 'אתונה', 'آتن', 'أثينا', 'ئافېنا', 'ܐܬܝܢܐ', 'अथेन्स', 'ஏதென்ஸ்', 'เอเธนส์', 'ათენი', 'ἀθῆναι', 'アテネ', '雅典', '아테네', '아테네 시']"
Beirut,,0,35.50157,40,PPLC,Beirut,276781,04,P,1916100,,276781,LB,,,33.89332,"['bey', 'baeyrut', 'bairut', 'bayrut', 'bayrūt', 'beiriut', 'beiroet', 'beirot', 'beirots', 'beirout', 'beiroūt', 'beirut', 'beiruta', 'beirutas', 'beirute', 'beirút', 'beirût', 'beirūta', 'bejrut', ""bejrut oshs'"", 'bejruti', 'bejruto', 'bejrút', 'berut', 'berytos', 'berytus', 'bewout', 'beyrouth', 'beyrut', 'bey\xadrutʻ', 'birut', 'bäyrut', 'béiriút', 'bêrût', 'gorad bejrut', 'bairut', 'bairuta', 'bayrut', 'bei lu te', 'beiluteu', 'beiruti', 'beiruto', 'berut', 'beruta', 'beyaruta', 'beyruta', 'bey\u200crutt', 'biruta', 'byrwt', 'byyrwt', 'peyrut', 'βηρυτός', 'бейрут', 'бейрут ошсь', 'бејрут', 'бәйрут', 'горад бейрут', 'բեյ\xadրութ', 'ביירוט', 'ביירות', 'بيروت', 'بَيْرُوت', 'بیروت', 'بېيرۇت', 'بەیرووت', 'ܒܝܪܘܬ', 'बेयरूत', 'बेय्रुत', 'बैरूत', 'বৈরুত', 'ਬੇਰੂਤ', 'ବିରୁଟ', 'பெய்ரூத்', 'ಬೈರುತ್', 'ബെയ്\u200cറൂത്ത്', 'เบรุต', 'པ་ར་ཐ།', 'པེ་རུ་ཐེ།', 'ဘေရွတ်မြို့', 'ბეირუთი', 'ቤይሩት', 'ベイルート', '貝魯特', '贝鲁特', '베이루트']"
Ramallah,7870657,0,35.20422,879,PPL,Ramallah,282239,WE,P,24599,,282239,PS,,,31.89964,"['rahm alla', 'ram allah', 'ramala', 'ramalaho', 'ramall', 'ramalla', 'ramallae', ""ramallag'"", 'ramallah', 'ramallakh', 'ramalláh', 'ramal·lah', 'ramella', 'rámalláh', 'rām allāh', 'rāmalla', 'zdm', 'la mu an la', 'lamalla', 'ram allh', 'ramarra', 'ramla', 'rxma llxh', 'ραμάλα', 'рамала', 'рамаллæ', 'рамалла', 'рамаллагь', 'рамаллах', 'рамаллахӏ', 'рамаллаһ', 'ռամալլահ', 'ראמאללא', 'רמאללה', 'رام الله', 'رام\u200cالله', 'رملہ', 'ڕامەڵا', 'ரம்லா', 'รอมัลลอฮ์', 'ラマッラー', '拉姆安拉', '라말라']"
Kuwait City,,0,47.97833,16,PPLC,Kuwait City,285787,02,P,60064,,285787,KW,,,29.36972,"['al kuwait', 'al kuwayt', 'al-kuwait', 'ciudad de kuwait', ""ehl'-kuvejt"", 'kwi', 'koeweit', 'kota kuwait', 'koveyit', 'koweit', 'koweït', 'kuvaeyt', 'kuvajt', 'kuvajto', 'kuvajturbo', 'kuveitas', 'kuväyt', 'kuwait', 'kuwait city', 'kuwait stad', 'kuwait by', 'kuwait-stadt', 'kuwait-urbo', 'kuwayt', 'kuweit', 'kuwejt', 'madinat al kuwayt', 'madinat al-kuwait', 'madīnat al kuwayt', 'pole tou koubeit', 'aalkuayt', 'ke wei te shi', 'khuwet si ti', 'kuu~eto shi', 'kuweiteu', 'kuweiteusiti', 'kwwyt syty', 'mdynt alkwyt', 'πόλη του κουβέιτ', 'эль-кувейт', 'כווית סיטי', 'اَلْكُوَيْت', 'مدينة الكويت', 'คูเวตซิตี', 'クウェート市', '科威特市', '쿠웨이트', '쿠웨이트시티']"
Muscat,,0,58.40778,14,PPLC,Muscat,287286,06,P,797000,,287286,OM,,,23.58413,"['gorad maskat', 'mct', 'maeskat', 'mascat', 'mascate', 'maskat', 'maskata', 'maskatas', 'maskate', 'maskato', 'maskˌat', 'masqat', 'masqaţ', 'masqaṭ', 'masquat', 'maszkat', 'mouskat', 'muscat', 'muskat', 'mäskat', 'múskat', 'ma si ka te', 'ma si ke te', 'masakata', 'maskarr', 'maskat', 'maskata', 'masqata', 'masukatto', 'msqt', 'museukateu', 'μουσκάτ', 'горад маскат', 'маскат', 'масқат', 'мускат', 'մասկատ', 'מסקט', 'مسقط', 'مسقط، عمان', 'مۇسكات', 'مەسقەت', 'मस्कत', 'मस्क़त', 'মাস্কাট', 'ਮਸਕਟ', 'ମସ୍କଟ', 'மஸ்கத்', 'మస్కట్', 'മസ്കറ്റ്', 'มัสกัต', 'མི་སི་ཁ་ཁྲི།', 'მასკატი', 'መስከት', 'マスカット', '馬斯喀特', '马斯喀特', '무스카트']"
Doha,,0,51.53096,11,PPLC,Doha,290030,01,P,344939,,290030,QA,,,25.28545,"['ad dawha', 'ad dawhah', 'ad dawḩa', 'ad dawḩah', 'ad doha', 'ad dowhah', 'ad-dauha', 'ad-dawhah', 'ad-dawḩah', 'doh', 'daeuha', 'dauha', 'dauhá', 'dawha', 'dawhat al qatar', 'dawḥa', 'dawḩat al qaţar', 'dewhe', ""do'ha"", 'doh', 'doha', 'doho', 'dokha', 'dokhae', 'dokho', 'dooxa', 'doʻha', 'doḥa', 'duoha', 'däuha', 'gorad dokha', 'ntocha', 'aaldawhat', 'aldwhh', 'aldwht', 'deaha', 'do ha', 'doha', 'dohara', 'duo ha', 'dwhh', 'toka', 'ντόχα', 'горад доха', 'дохæ', 'доха', 'дохо', 'доҳа', 'доһа', 'դոհա', 'דאכא', 'דוחא', 'דוחה', 'الدوحة', 'الدوحه', 'اَلدَّوْحَة', 'دوحه', 'دوحہ', 'دوحە', 'دوھا', 'دەوحە', 'दोहा', 'দোহা', 'দোহার', 'ਦੋਹਾ', 'தோகா', 'ದೊಹಾ', 'ദോഹ', 'โดฮา', 'དྷོ་ཧ།', 'ဒိုဟာမြို့', 'დოჰა', 'ዶሃ', 'ドーハ', '多哈', '도하']"
`Askar,,0,50.61639,8,PPL,‘Askar,290304,17,P,0,,290304,BH,,,26.05722,"['al `askar', 'al ‘askar', '`askar', 'عَسْكَر', '‘askar']"
Dubai,,0,55.17128,3,PPLA,Dubai,292223,03,P,1137347,,292223,AE,,,25.0657,"['dxb', 'dabei', 'dibai', 'dibay', 'doubayi', 'dubae', 'dubai', 'dubai emiraat', 'dubaija', 'dubaj', 'dubajo', 'dubajus', 'dubay', 'dubayy', 'dubaï', 'dubái', 'dúbæ', 'ehmirat dubaj', 'fort dabei', 'ntoumpai', 'dby', 'dbyy', 'di bai', 'dobai', 'du bai', ""duba'i"", 'dubai', 'dubay', 'dubi', 'dwbyy', 'tupai', 'ντουμπάι', 'дубаи', 'дубай', 'эмірат дубай', 'դուբայի էմիրություն', 'דובאי', 'דוביי', 'دبئی', 'دبى', 'دبي', 'دبی', 'دوبەی', 'دۇبائى', 'दुबई', 'দুবাই', 'துபை', 'దుబాయ్', 'ದುಬೈ', 'ദുബായ്', 'ดูไบ', 'დუბაი', 'ドバイ', '杜拜', '迪拜', '두바이']"
Al Fujayrah,,0,56.34141,15,PPLA,Al Fujayrah,292878,04,P,62415,,292878,AE,,,25.11641,"['al fujayrah', 'al-fudjayra', ""al-fujayrah' emiraat"", 'fjr', 'fudschaira', 'fudzhejra', 'fujaira', 'fujairah', 'fujajro', 'fujayrah', 'fuĵajro', 'alfjyrt', 'fjyrt', 'fu ji la', 'fujaira', 'фуджейра', 'الفجيرة', 'فجيرة', 'フジャイラ', '富吉拉']"
Petah Tiqwa,,0,34.88747,54,PPL,Petaẖ Tiqwa,293918,02,P,200000,,293918,IL,,,32.08707,"['mulebbis', 'petach tikva', 'petah tikva', 'petah tikwah', 'petah tiqwa', 'petaẖ tikva', 'petaẖ tiqwa', 'pethah tiqva', 'pethah tiqvā', 'tigrah', 'pth tqwh', 'pth tqwwh', 'pth tyqwh', 'pth tyqwwh', 'פתח תיקוה', 'פתח תיקווה', 'פתח תקוה', 'פתח תקווה']"
Denizli,,0,29.0875,405,PPLA,Denizli,317109,20,P,313238,,317109,TR,,,37.77417,"['dnz', 'denisli', 'denislu', 'denislü', 'denizli', 'denizlis', 'denizlu', 'gorad dehnizli', 'ntenizli', 'dai ni zi li', 'deni s li', 'denijali', 'denijeulli', 'denizli', 'denizuri', 'dnyzly', 'ντενιζλί', 'горад дэнізлі', 'денизли', 'денізлі', 'دنيزلي', 'دنیزلی', 'دەنیزلی', 'ڈینزلی', 'ਦੇਨਿਜਲੀ', 'เดนิซลี', 'დენიზლი', 'デニズリ', '代尼茲利', '데니즐리']"
Adana,,0,35.32889,41,PPLA,Adana,325363,81,P,1248988,,325363,TR,,,37.00167,"['ada', 'adana', 'adane', 'adanë', 'adhanah', 'antiocheia', 'edene', 'gorad adana', 'a da na', 'adana', 'adnt', 'xa da na', 'yadana', 'άδανα', 'αδανα', 'αντιόχεια', 'адана', 'горад адана', 'ադանա', 'אדנה', 'آدانا', 'أضنة', 'ئادانا', 'अदना', 'আদানা', 'อาดานา', 'ადანა', 'アダナ', '阿达纳', '아다나']"
Cairo,,0,31.24967,23,PPLC,Cairo,360630,11,P,7734614,,360630,EG,,,30.06263,"['al qahirah', 'al qāhirah', 'cai', 'caire', 'cairo', 'cairo - alqahrt', 'cairo - القاهرة', 'cairu', 'cairus', 'caïro', 'el caire', 'el cairo', 'el kahira', 'el kahirah', 'el-qahira', 'el-qâhira', 'il cairo', 'kaherah', 'kahira', 'kahirae', 'kahire', 'kahirä', 'kair', 'kaira', 'kairas', 'kairo', 'kairó', 'kajro', 'kayro', 'kaíró', 'kaïro', 'káhira', 'le caire', 'lo cayiro', 'lungsod ng cairo', 'masr', 'misr', 'qahirə', 'alqahrt', 'kai luo', 'kailo', 'kairo', 'keyro', 'khiro', 'qahrh', 'qhyr', 'ël cairo', 'ël càiro', 'κάιρο', 'каир', 'каиро', 'кайро', 'каїр', 'קהיר', 'القاهرة', 'قاهره', 'قاھىرە', 'قاہرہ', 'கெய்ரோ', 'ไคโร', 'ཁ་ཡི་རོ', 'ქაირო', 'ካይሮ', 'カイロ', '开罗', '카이로']"
Giza,,0,31.21093,30,PPLA,Giza,360995,08,P,2443203,,360995,EG,,,30.00808,"['al jizah', 'al jīzah', 'el gizeh', 'el-giza', 'el-gîza', 'ghizeh', 'giza', 'gizah', 'gize', 'gizeh', 'gizo', 'gizé', 'guiza', 'gíza', 'gîza', 'spx', 'aljyzt', 'giza', 'jyzh', 'гиза', 'الجيزة', 'جیزه', 'ギーザ']"
Bujumbura,,0,29.3644,805,PPLC,Bujumbura,425378,24,P,331700,,425378,BI,,,-3.3822,"['bjm', 'boujoumboura', 'budzumbura', 'bujumbura', 'bujumburo', 'bujumbúra', 'buj·umbura', 'buyumbura', 'buzhumbura', 'buzumbura', 'buĵumburo', 'bużumbura', 'bužumbura', 'bužumbūra', 'bújúmbúra', 'bûjûmbûra', 'gorad buzhumbura', 'mpouzoumpoura', 'usumbura', 'bajmbwra', 'bu cum bur a', 'bu qiong bu la', 'bu song bu la', 'bujubura', 'bujumabura', 'bujumbula', 'bujumbura', 'bujunbura', 'buzhumbura', 'bwgwmbwrh', 'bwjwmbra', 'bwjwmbwra', 'pucumpura', 'μπουζουμπούρα', 'бужумбура', 'буџумбура', 'буҷумбура', 'горад бужумбура', 'բուժումբուրա', 'בוגומבורה', 'בוזשומבורע', 'باجمبورا', 'بوجومبرا', 'بوجومبورا', 'बुजुंबुरा', 'ਬੁਜੁੰਬੁਰਾ', 'ବୁଜୁମବୁରା', 'புசும்புரா', 'บูจุมบูรา', 'བུ་ཇུམ་བུ་ར།', 'ბუჟუმბურა', 'ቡጁምቡራ', 'ブジュンブラ', '布松布拉', '布琼布拉', '부줌부라']"
Riga,0010000,0,24.10589,6,PPLC,Riga,456172,25,P,742572,,456172,LV,,,56.946,"['gorad ryga', 'rix', 'reiga', 'riga', 'rigae', 'rige', 'rigg-a', 'rigo', 'riia', 'riigaa', 'riika', 'rija', 'riqa', 'ryga', 'ríga', 'ríge', 'rīga', 'li jia', 'liga', 'ri ka', 'riga', 'rika', 'ryga', 'rygh', 'rygha', 'ryja', 'ρίγα', 'горад рыга', 'ригæ', 'рига', 'ріґа', 'ռիգա', 'ריגה', 'ריגע', 'رىگا', 'ريجا', 'ريغا', 'ریگا', 'रिगा', 'रीगा', 'রিগা', 'ரீகா', 'รีกา', 'རི་ག', 'რიგა', 'ሪጋ', 'リガ', '里加', '리가']"
Yaroslavl,,0,39.87368,103,PPLA,Yaroslavl,468902,88,P,606730,,468902,RU,,,57.62987,"['giaroslavl', ""gorad jaraslaul'"", 'iar', 'iaroslavia', 'iaroslavl', 'jaroslavelj', 'jaroslavl', ""jaroslavl'"", ""jaroslavl' osh"", 'jaroslavla', 'jaroslavlis', 'jaroslavlj', 'jaroslavul', 'jaroslavļa', 'jaroslavľ', 'jaroslaw', 'jaroslawl', 'jaroszlavl', 'jarosław', 'yaroslavl', 'iaroslavli', 'ya luo si la fu er', 'ya ro sla fl', 'yaloseullabeul', 'yaroslava', 'yarosuravuri', 'yarwslafl', 'yarwslawl', 'yrwslbl', 'γιαροσλάβλ', 'јарослављ', 'горад яраслаўль', 'ярославль', 'ярославль ош', 'ярославъл', 'յարոսլավլ', 'ירוסלבל', 'ياروسلافل', 'یاروسلاول', 'यरोस्लाव', 'यारोस्लाव', 'ยาโรสลาฟล์', 'იაროსლავლი', 'ヤロスラヴリ', '雅罗斯拉夫尔', '야로슬라블']"
Saint Petersburg,,0,30.31413,11,PPLA,Saint Petersburg,498817,66,P,5028000,,498817,RU,,,59.93863,"['agia petroupole', 'betuyrbukh', 'led', 'leningrad', 'leningrado', 'lungsod ng sankt-peterburg', 'peterburg', 'peterburgo', 'peterburi', 'petersburg', 'petrapilis', 'petrograd', 'petrogrado', 'petrohrad', 'petropolis', 'petursborg', 'pietari', 'piiteri', 'piter', 'pétursborg', 'spb', 'saint petersbourg', 'saint petersburg', 'saint pétersbourg', 'saint-petersbourg', 'saint-pétersbourg', 'san petersburgo', 'san pietroburgo', 'san pietruburgu', 'sankt peitersbuerg', 'sankt peterburg', 'sankt peterburgas', 'sankt petersborg', 'sankt petersburg', 'sankt peterzburg', 'sankt péitersbuerg', 'sankt-peterburg', 'sankt-peterburgo', 'sankt-peterburq', 'sankt-petersburg', 'sankti petursborg', 'sankti pétursborg', 'sanktpeterburga', 'sanktpēterburga', 'sant petersburg', 'sant petersburgo', 'sant-petersbourg', 'santa peterburg', 'sao petersburgo', 'sint petersbork', 'sint-petersburg', 'st petersburg', 'st. petersburg', 'st.-petersburg', 'szentpetervar', 'szentpétervár', 'são petersburgo', 'leningeuladeu', 'sangteupeteleubuleukeu', 'sankt. peterburg', 'sankutopeteruburuku', 'sant btrsbrgh', 'seinteupiteojeubeogeu', 'sent pi te xrs beirk', 'sheng bi de bao', 'sn ptrzbwrg', 'snqt ptrbwrg', 'αγία πετρούπολη', 'бетъырбух', 'ленинград', 'петербург', 'петроград', 'питер', 'спб', 'санкт петербург', 'санкт петерзбург', 'санкт-петербург', 'սանկտ պետերբուրգ', 'סנקט פטרבורג', 'سانت بطرسبرغ', 'سن پترزبورگ', 'เซนต์ปีเตอร์สเบิร์ก', 'სანკტ-პეტერბურგი', 'სანქტ-პეტერბურგი', 'サンクトペテルブルク', '圣彼得堡', '레닌그라드', '상트페테르부르크', '세인트피터즈버그']"
