latitude,feature_class,geoname_id,feature_code,admin2_code,admin3_code,elevation,dem,cc2,alternatenames,asciiname,geo_id,name,admin1_code,admin4_code,population,longitude,country_code
21.54238,P,105343,PPL,,,0,21,,"['chidda', 'cidda', 'ciddae', 'cidde', 'ciddä', 'ciddə', 'djedda', 'djeddah', 'djidda', 'dschidda', 'dzeda', 'dzedda', 'dzhida', 'dzhidda', 'dzhiddae', 'dzhiddat', 'dzhidde', 'dzida', 'dzidd', 'dzidda', 'dzsidda', 'dzudda', 'dżudda', 'džeda', 'džedda', 'džida', 'džidd', 'džidda', 'gedda', 'gidda', 'gido', 'gorad dzhyda', 'iedda', 'jed', 'jaddah', 'jedda', 'jeddah', 'jida', 'jidda', 'jiddah', 'jidde', 'jidá', 'judah', 'juddah', 'tzenta', 'yida', 'yidda', 'zhidda', 'gdh', 'jada', 'jdh', 'jdt', 'jeda', 'jedda', 'jeddaha', 'ji da', 'jida', 'jidda', 'jitta', 'yid dah', 'ĝido', 'ğidda', 'τζέντα', 'џеда', 'горад джыда', 'джида', 'джиддæ', 'джидда', 'джиддат', 'джидде', 'жидда', 'ջիդդա', 'גדה', 'جدة', 'جده', 'جدہ', 'ޖިއްދާ', 'जेद्दाह', 'জেদ্দা', 'ਜੱਦਾ', 'ஜித்தா', 'ജിദ്ദ', 'ญิดดะฮ์', 'ჯიდა', 'ジッダ', '吉达', '吉達', '제다', '지다']",Jeddah,105343,Jeddah,14,,2867446,39.19797,SA
24.68773,P,108410,PPLC,,,0,612,,"['al-riad', 'al-riyad', 'ar riyadh', 'ar riyādh', 'ar-riaad', 'ar-rijad', 'ar-riyad', 'ar-riyod', 'ar-riyāḑ', 'ehr-rijad', 'er-rijad', 'er-riyad', 'gorad ehr-ryjad', 'ruh', 'riaad', 'riad', 'riade', 'riadi', 'riado', 'riadum', 'riant', 'rihad', 'rijad', 'rijada', 'rijadas', 'rijád', 'rijāda', 'riyad', 'riyadh', 'riyaḍ', 'ríad', 'alryad', 'er-riadi', 'li ya de', 'liyadeu', 'raiyadha', ""ri'ada"", ""ri'adha"", 'riyad', 'riyada', 'riyadh', 'riyadha', 'riyado', 'riyat', 'ryad', 'ryyad', 'ər-riyad', 'ριάντ', 'ар-рияд', 'горад эр-рыяд', 'ер-ріяд', 'рияд', 'ријад', 'эр-рияд', 'ալ-ռիադ', 'ריאד', 'الرياض', 'رىياد', 'رياض', 'ریاض', 'ڕیاز', 'रियाद', 'रियाध', 'রিয়াদ', 'ৰিয়াধ', 'ਰਿਆਧ', 'ରିଆଦ', 'ரியாத்', 'ರಿಯಾಧ್', 'റിയാദ്', 'ริยาด', 'རིས་ཡག', 'ერ-რიადი', 'ሪያድ', 'リヤド', '利雅得', '利雅德', '리야드']",Riyadh,108410,Riyadh,10,,4205961,46.72185,SA
34.68406,P,146384,PPLA,,,0,27,,"['gorad limasol', 'lemesos', 'lemessus', 'lemesós', 'leymosun', 'limasol', 'limasol shaary', 'limasolis', 'limasolo', 'limassol', 'limisso', 'qli', 'li ma suo er', 'li ma sxl', 'limasol', 'limasoli', 'lymaswl', 'lymswl', 'rimasoru', 'λεμεσός', 'горад лімасол', 'лимасол', 'лимасол шаары', 'лімасол', 'լիմասոլ', 'לימסול', 'ليماسول', 'لیماسول', 'ലിമസ്സോൾ', 'ลีมาซอล', 'ლიმასოლი', 'リマソール', '利马索尔', '리마솔']",Limassol,146384,Limassol,05,,154000,33.03794,CY
-6.82349,P,160263,PPLA,0702,0702132,0,24,,"['dar', 'dar es salaam', 'dar es salam', 'dar es salaam', 'dar es salam', 'dar es salamas', 'dar es salams', 'dar es salám', 'dar es-salaam', 'dar es-salam', 'dar əs salam', 'dar-ehs-salam', 'dar-ehs-salam shaary', 'dar-es-salaam', 'dar-es-salam', 'darasalam', 'daresalama', 'daresalamo', 'daressalaam', 'daressalam', 'daruesselam', 'darüsselam', 'dárasalám', 'dār es salām', 'dāresalāma', 'gorad dar-ehs-salam', 'ntar es salam', 'ntontoma', 'da lei si sa la mu', 'daleueseusallam', 'dar alslam', 'dar-es-salami', 'dar-xes-salam', 'dara asa salama', 'dara esa salama', 'daralslam', 'daruesusaramu', 'san lan gang', ""tarus'salam"", 'νταρ ες σαλάμ', 'ντοντόμα', 'горад дар-эс-салам', 'дар ес салам', 'дар ес-салаам', 'дар-ес-салам', 'дар-эс-салам', 'дар-эс-салам шаары', 'דאר א-סלאם', 'דאר עס סאלאאם', 'دار السلام', 'دارالسلام', 'دارېسسالام', 'दार अस सलाम', 'दार एस सलाम', 'ਦਾਰ ਅਸ ਸਲਾਮ', 'தாருஸ்ஸலாம்', 'ดาร์-เอส-ซาลาม', 'ཏ་རེ་སི་ས་ལམ།', 'ဒါအက်စ် ဆယ်လန်းမြို့', 'დარ-ეს-სალამი', 'ダルエスサラーム', '三蘭港', '达累斯萨拉姆', '다르에스살람']",Dar es Salaam,160263,Dar es Salaam,23,,2698652,39.26951,TZ
-1.28333,P,184745,PPLC,,,0,1684,,"['gorad najrobi', 'nbo', 'nairoba', 'nairobi', 'nairobia', 'nairobis', 'nairobo', 'nairoby', 'nairobî', 'nairompi', 'nairòbi', 'nairóbi', 'najrobi', 'najrobo', 'nayrobi', 'nayroobi', 'naíróbí', 'naýrobi', ""na'irobi"", 'nai luo bi', 'nailobi', 'nairobi', 'nairopi', 'nayreabi', 'nayrwby', 'nei luo bi', 'nirobi', 'nyrwby', 'nyyrwby', 'ναϊρόμπι', 'горад найробі', 'найроби', 'найробі', 'најроби', 'նայրոբի', 'נייראבי', 'ניירובי', 'نايروبى', 'نایروبی', 'نایرۆبی', 'نيروبي', 'نیروبی', 'नैरोबी', 'নাইরোবি', 'ਨੈਰੋਬੀ', 'நைரோபி', 'ನೈರೋಬಿ', 'നയ്റോബി', 'ไนโรบี', 'ནའི་རོ་བི།', 'နိုင်ရိုဘီမြို့', 'ნაირობი', 'ናይሮቢ', 'ナイロビ', '内罗毕', '奈洛比', '나이로비']",Nairobi,184745,Nairobi,05,,2750547,36.81667,KE
-4.05466,P,186301,PPLA,,,0,20,,"['gorad mambasa', 'mba', 'mombaaso', 'mombaca', 'mombasa', 'mombassa', 'mombaça', 'mombása', 'mompasa', 'mvita', 'meng ba sa', 'mmbasa', 'momabaka', 'mombasa', 'monbasa', 'mwmbasa', 'mwmbsh', 'μομπάσα', 'горад мамбаса', 'момбаса', 'מומבסה', 'ممباسا', 'مومباسا', 'मोम्बासा', 'মোমবাকা', 'მომბასა', 'モンバサ', '蒙巴萨', '몸바사']",Mombasa,186301,Mombasa,37,,799668,39.66359,KE
-1.94995,P,202061,PPLC,11,1109,0,1542,,"['gorad kigali', 'kgl', 'kigale', 'kigali', 'kigalis', 'kigalo', 'kigaly', 'kinkali', 'kiqali', 'kígalí', 'ji jia li', 'khikali', 'kigali', 'kigalli', 'kigari', 'kikali', 'kygaly', 'kyghaly', 'κιγκάλι', 'горад кігалі', 'кигали', 'кігалі', 'կիգալի', 'קיגאלי', 'كيغالي', 'کیگالی', 'किगाली', 'ਕਿਗਾਲੀ', 'கிகாலி', 'කිගාලි', 'คิกาลี', 'ཀི་ག་ལི།', 'კიგალი', 'ኪጋሊ', 'キガリ', '吉佳利', '키갈리']",Kigali,202061,Kigali,12,110903,745261,30.05885,RW
11.58901,P,223817,PPLC,,,0,6,,"['byen djibouti', 'cibuti', 'dinas jibwti', 'diobuiti', 'diobúití', 'djiboeti', 'djibouti', 'djibouti chhi', 'djibouti chhī', 'djibuti', 'dschibuti', 'dzhibuti', 'dzibuti', 'dzibutis', 'dzjibuty', 'dzjibûty', 'dzsibuti', 'dżibuti', 'džibuti', 'džibutis', 'džíbútí', 'gibuti', 'gibuto', 'gibutum', 'gorad dzhybuci', 'ilu djibouti', 'jib', 'jabuuti', 'jiboti', 'jibouti', 'jibuti', 'lungsod ng djibouti', 'mbanza ya djibuti', 'sita jibouti', 'syudad han djibouti', 'tzimpouti', 'xibuti', 'xibutí', 'yibuti', 'zhibuti shaary', 'ci buti', 'ciputti', 'dzsybwty', 'gybwty', 'jbwty', 'jbwty ʿlaqہ', 'ji bu de shi', 'ji bu ti cheng', 'jibuchi shi', 'jibuti', 'jybwty', 'jybwwty', 'ìlú djibouti', 'ĝibuto', 'τζιμπουτί', 'џибути', 'горад джыбуці', 'джибути', 'джибуті', 'жибути шаары', 'ҷибути', 'ջիբութի', 'גיבוטי', 'דזשיבוטי', 'جبوتی', 'جبوتی علاقہ', 'جيبوتي', 'جیبوتی', 'جیبووتی', 'जिबूती', 'জিবুতি', 'ਜਿਬੂਤੀ', 'சீபூத்தீ', 'จิบูตี', 'ཇི་བའོ་ཊི།', 'ჯიბუტი', 'ジブチ市', '吉布地市', '吉布提城', '지부티']",Djibouti,223817,Djibouti,07,,623891,43.14503,DJ
0.31628,P,232422,PPLC,37,8644170,0,1223,,"['campala', 'gorad kampala', 'ikampala', 'kla', 'kaempaala', 'kambaala', 'kampal', 'kampala', 'kampalo', 'kanpala', 'kam pa la', 'kambala', 'kampala', 'kampalla', 'kan pa la', 'kanpara', 'kapala', 'kmpala', 'qmplh', 'καμπάλα', 'горад кампала', 'кампала', 'կամպալա', 'קאמפאלא', 'קמפלה', 'كامبالا', 'كامپالا', 'کامپالا', 'کمپالا', 'کمپالہ', 'कंपाला', 'कम्पाला', 'ਕੰਪਾਲਾ', 'କାମ୍ପାଲା', 'கம்பாலா', 'กัมปาลา', 'ཀམ་པ་ལ།', 'კამპალა', 'ካምፓላ', 'カンパラ', '坎帕拉', '캄팔라']",Kampala,232422,Kampala,C,8658346,1353189,32.58219,UG
29.52667,P,250774,PPLA,,,0,46,,"['aqj', 'akaba', 'akabe', ""al-'aqabah"", 'al-‘aqabah', 'aqaba', 'qal`at el `aqaba', '`aqaba', 'akaba', 'ya ke ba', 'акаба', 'עקבה', 'العقبة', 'عقبه', 'アカバ', '亞喀巴']",Aqaba,250774,Aqaba,21,,95048,35.00778,JO
