region,org_id,alternatenames,pdb_org_id,state,ix_id,url,pch_id,geo_id,city,iata,prefixes,latitude,pdb_id,country,longitude,name,address,sources,zipcode
Asia-Pacific,2634,"['Amsterdam Internet Exchange Mumbai', 'AMS-IX India']",2634,,8,https://ams-ix.in/,1948,,,,"{'ipv4': ['223.31.200.0/24'], 'ipv6': ['2001:e48:44:100b::/64']}",,1623,IN,,AMS-IX Mumbai,,"['pdb', 'he', 'pch']",
Asia-Pacific,2634,['Amsterdam Internet Exchange Singapore'],2634,,1458,https://www.ams-ix.net/sin/,2351,1880252,Singapore,SIN,"{'ipv4': ['112.137.24.0/24'], 'ipv6': ['2a00:8422:ae5::/64']}",,3800,SG,,AMS-IX Singapore,20 Ayer Rajah Crescent#05-05/08,"['pdb', 'he', 'pch']",139964
Africa,,[],,,10,,1848,2240449,Luanda,LAD,"{'ipv4': ['196.11.234.0/24'], 'ipv6': ['2001:43f8:9d0::/48']}",-8.85000,,AO,13.23000,ANGONIX,,['pch'],
Asia-Pacific,13245,['ANI-IX Delhi'],13245,,857,http://ani-ix.org,2045,,,,"{'ipv4': ['163.53.87.0/24', '103.154.8.0/24', '45.248.174.0/24', '45.248.172.0/24'], 'ipv6': ['2405:e100:3::/64']}",,2210,IN,,ANI Peering Exchange,,"['pdb', 'he', 'pch']",
Europe,,[],,,1291,http://www.anix.al,,3183875,Tirana,,"{'ipv4': ['185.1.100.0/24'], 'ipv6': ['2001:7f8:bb::/48']}",41.32750,,AL,19.81870,ANIX,,['he'],
Asia-Pacific,,[],,,12,http://ape.nzix.net/,,2193733,Auckland,,"{'ipv4': ['192.203.154.0/24'], 'ipv6': ['2001:7fa:4:c0cb::/64']}",-37.02000,,NZ,174.80000,APE,,['he'],
Europe,,[],,,1459,http://www.aplix.pl,,3099424,Gdynia,,"{'ipv4': ['185.42.185.0/24'], 'ipv6': ['2a01:65a0:a5::/48']}",,,PL,,APLIX,,['he'],
"['Latin America', 'South America']",17295,"['IXP APROSVA', 'APROSVA-IX-MJC', 'IXP-APROSVA Pasaje']",17295,,365,http://aprosva.ec,1960,3653403,"['Pasaje', 'MJC']",,"{'ipv4': ['170.82.112.0/22', '170.82.113.0/27'], 'ipv6': []}",-3.32664,3553,EC,-79.84297,APROSVA Equinix BGT,,"['pch', 'he', 'pdb']",
South America,14444,['AR-IX Cabase IXP Nacional'],14444,,1460,http://www.cabase.org.ar,,,,,"{'ipv4': ['200.0.17.0/24', '200.115.81.0/24', '200.115.83.0/24', '200.0.19.0/24', '200.13.83.0/24', '200.14.37.0/24', '200.14.75.0/24', '200.14.39.0/24', '200.115.82.0/24', '200.14.38.0/24', '200.115.84.0/24', '200.14.74.0/24', '200.115.85.0/24', '200.115.80.0/24', '138.204.247.0/24', '138.204.245.0/24', '138.204.248.0/24', '138.204.246.0/24', '138.204.244.0/24', '138.204.249.0/24', '138.204.250.0/24', '138.204.254.0/24', '138.204.253.0/24', '138.204.255.0/24', '138.204.251.0/24', '201.182.128.0/24', '201.182.131.0/24', '201.182.132.0/24', '45.68.8.0/22', '138.204.252.0/24'], 'ipv6': ['2001:13c7:6001::/64', '2001:13c7:6009::/64', '2001:13c7:600e::/64', '2001:13c7:600c::/64', '2001:13c7:6010::/64', '2001:13c7:6011::/64', '2001:13c7:6012::/64', '2001:13c7:600b::/64', '2001:13c7:6019::/64', '2001:13c7:6007::/64', '2001:13c7:6017::/64', '2001:13c7:6014::/64', '2001:13c7:6013::/64', '2001:13c7:6008::/64', '2001:13c7:600d::/64', '2001:13c7:6018::/64', '2001:13c7:6016::/64', '2801:168::/64', '2001:13c7:601f::/64', '2001:13c7:601d::/64', '2801:168:2::/64', '2801:168:4::/64', '2801:168:6::/64', '2801:168:3::/64', '2001:13c7:601e::/64', '2801:168:1::/64', '2001:13c7:6015::/64', '2001:13c7:601a::/64', '2001:13c7:601b::/64', '2001:13c7:601c::/64']}",,3788,AR,,AR-IX Cabase,,"['he', 'pdb']",
,25190,['Amateur Radio Internet Exchange'],25190,CA,1101,https://arix.dev/,,5350734,,,"{'ipv4': ['44.190.42.0/24'], 'ipv6': ['2602:801:30ff::/64']}",,3069,US,,ARIX,,['pdb'],
