zipcode,longitude,pdb_org_id,address,country,city,pdb_fac_id,name,num_ixs,state,fac_id,sources,clli,geo_id,latitude,alternatenames
60326,8.632004,2,Kleyerstrasse 90,DE,Frankfurt,60,"Equinix FR5 - Frankfurt, KleyerStrasse",25,,38,['pdb'],FRNKGE,2925533,50.09885,[]
1098 XG,4.951609,8592,Science Park 120,NL,Amsterdam,61,Digital Realty Amsterdam AMS17,7,,39,['pdb'],,2759794,52.356353,[]
1101 AE,4.938009,2,Kuiperbergweg 13,NL,Amsterdam,62,"Equinix AM7 - Amsterdam, Kuiperberweg",11,,40,['pdb'],AMSTNL,2759794,52.303078,[]
1066 VH,4.828711,77,Johan Huizingalaan 759,NL,Amsterdam,63,Global Switch Amsterdam,5,,41,['pdb'],AMSTNL,2759794,52.343984,[]
1119 NJ,4.770855,8592,Cessnalaan 1,NL,Amsterdam,64,"Digital Realty Amsterdam AMS3, AMS5-8, AMS10",2,,42,['pdb'],AMSTNL,2759794,52.28415,[]
1010,16.357784,106,Universitaetsstrasse 7,AT,Vienna,66,Vienna University Computer Center (Wien),1,,43,['pdb'],,2761369,48.214151,[]
1210,16.410613,8592,Louis-Haefliger-Gasse 10,AT,Vienna,67,Digital Realty Vienna VIE1-2,6,,44,['pdb'],,2761369,48.269027,[]
1930,4.476941,8592,Wezenbeekstraat 2Zaventem,BE,Brussels,68,Digital Realty Brussels BRU1,5,,45,['pdb'],,2800866,50.870502,[]
75207,-96.81955,2,1950 N Stemmons FwySuite 1039A,US,Dallas,69,Equinix DA3 - Dallas,5,TX,46,['pdb'],DLLSTX,4684888,32.800955,[]
98121,-122.338883,8592,2001 Sixth AvenueSuite 300,US,Seattle,71,Digital Realty Seattle SEA10,5,WA,47,['pdb'],STTLWAWB,5809844,47.614347,[]
92413,2.259202,2,130-136 Boulevard de VerdunEnergy Park 9,FR,Paris,72,"Equinix PA7 - Paris, Energy Park",2,,48,['pdb'],PARSFR,2988507,48.904891,[]
93534,2.369221,2,45 Avenue Victor HugoAubervilliers,FR,Paris,73,"Equinix PA5 - Paris, Victor Hugo",1,,1716,['pdb'],PARSFR,2988507,48.90407,[]
60327,8.644169,2,Gutleutstrasse 310Frankfurt am Main,DE,Frankfurt,74,"Equinix FR7 - Frankfurt, Gutleutstrasse",7,,49,['pdb'],FRNKGE,2925533,50.096869,[]
93300,2.370417,8592,20 Rue des GardinouxAubervilliers,FR,Paris,75,Digital Realty Paris PAR2,1,,50,['pdb'],,2988507,48.906617,[]
M15 6SE,-2.236869,2,Manchester Science ParkLloyd Street North,GB,Manchester,76,"Equinix MA1 - Manchester, Williams/Kilburn",2,,51,['pdb'],,2643123,53.463112,[]
M15 5RN,-2.247614,2,Reynolds HouseTechnopark4 Archway,GB,Manchester,78,"Equinix MA2 - Manchester, Reynolds House",1,,52,['pdb'],,2643123,53.464349,[]
E14 9FJ,-0.011758,8592,"Memaco House, Meridian Gate215 Marsh Wall",GB,London,79,Digital Realty London LHR21,3,,53,['pdb'],,2643743,51.500621,[]
1042 AB,4.838579,2,Gyroscoopweg 2E & 2F,NL,Amsterdam,80,"Equinix AM8 - Amsterdam, Gyroscoopweg",4,,54,['pdb'],AMSTNL,2759794,52.396814,[]
8152,8.557273,8592,Sägereistrasse 35,CH,Glattbrugg,81,Digital Realty Zurich ZUR1,4,Zürich,55,['pdb'],,2660590,47.432702,[]
8005,8.519008,2,Hardstrasse 235,CH,Zurich,82,Equinix ZH1 - No longer operational,2,ZH,56,['pdb'],,2657896,47.387702,[]
8005,8.520255,2,Josefstrasse 225,CH,Zurich,83,Equinix ZH2 - Zurich,6,ZH,57,['pdb'],,2657896,47.387749,[]
95051,-121.988591,2,3030 Corvin Dr,US,Santa Clara,85,"Equinix SV17 - Silicon Valley, Santa Clara",1,CA,1946,['pdb'],SNTCCA,5393015,37.376348,[]
98121,-122.338864,2,2001 Sixth Avenue,US,Seattle,86,Equinix SE2/SE3 - Seattle,5,WA,58,['pdb'],STTLWA,5809844,47.614358,[]
22180,-77.219692,2,7990 Science Applications CtSuite 1,US,Vienna,88,"Equinix DC7 - Ashburn, Vienna",2,VA,59,['pdb'],VINNVA,4791160,38.908422,[]
90017,-118.259585,2,818 W 7th St6th Floor,US,Los Angeles,102,Equinix LA2 - Los Angeles,4,CA,60,['pdb'],LSANCA,5368361,34.048897,[]
90017,,2,"1200 W. 7th StLower Level 1, Suite 120",US,Los Angeles,103,Equinix LA5 - Los Angeles,1,CA,61,['pdb'],LSANCA,5368361,,[]
1098 XG,4.952501,8592,Science Park 121,NL,Amsterdam,104,Digital Realty Amsterdam AMS9,10,,62,['pdb'],AMSTNL,2759794,52.356671,[]
D-40599,6.86722,8592,In der Steele 29,DE,Düsseldorf,106,Digital Realty Dusseldorf DUS1-2,6,Nordrhein-Westfalen,63,['pdb'],,2934246,51.18827,[]
