clli,num_ixs,latitude,zipcode,sources,longitude,pdb_org_id,country,fac_id,pdb_fac_id,alternatenames,address,geo_id,name,state,city
,7,52.356353,1098 XG,['pdb'],4.951609,8592,NL,39,61,[],Science Park 120,2759794,Digital Realty Amsterdam AMS17,,Amsterdam
AMSTNL,11,52.303078,1101 AE,['pdb'],4.938009,2,NL,40,62,[],Kuiperbergweg 13,2759794,"Equinix AM7 - Amsterdam, Kuiperberweg",,Amsterdam
AMSTNL,5,52.343984,1066 VH,['pdb'],4.828711,77,NL,41,63,[],Johan Huizingalaan 759,2759794,Global Switch Amsterdam,,Amsterdam
AMSTNL,2,52.28415,1119 NJ,['pdb'],4.770855,8592,NL,42,64,[],Cessnalaan 1,2759794,"Digital Realty Amsterdam AMS3, AMS5-8, AMS10",,Amsterdam
,1,48.214151,1010,['pdb'],16.357784,106,AT,43,66,[],Universitaetsstrasse 7,2761369,Vienna University Computer Center (Wien),,Vienna
,6,48.269027,1210,['pdb'],16.410613,8592,AT,44,67,[],Louis-Haefliger-Gasse 10,2761369,Digital Realty Vienna VIE1-2,,Vienna
,5,50.870502,1930,['pdb'],4.476941,8592,BE,45,68,[],Wezenbeekstraat 2Zaventem,2800866,Digital Realty Brussels BRU1,,Brussels
DLLSTX,5,32.800955,75207,['pdb'],-96.81955,2,US,46,69,[],1950 N Stemmons FwySuite 1039A,4684888,Equinix DA3 - Dallas,TX,Dallas
STTLWAWB,5,47.614347,98121,['pdb'],-122.338883,8592,US,47,71,[],2001 Sixth AvenueSuite 300,5809844,Digital Realty Seattle SEA10,WA,Seattle
PARSFR,2,48.904891,92413,['pdb'],2.259202,2,FR,48,72,[],130-136 Boulevard de VerdunEnergy Park 9,2988507,"Equinix PA7 - Paris, Energy Park",,Paris
PARSFR,1,48.90407,93534,['pdb'],2.369221,2,FR,1716,73,[],45 Avenue Victor HugoAubervilliers,2988507,"Equinix PA5 - Paris, Victor Hugo",,Paris
FRNKGE,7,50.096869,60327,['pdb'],8.644169,2,DE,49,74,[],Gutleutstrasse 310Frankfurt am Main,2925533,"Equinix FR7 - Frankfurt, Gutleutstrasse",,Frankfurt
,1,48.906617,93300,['pdb'],2.370417,8592,FR,50,75,[],20 Rue des GardinouxAubervilliers,2988507,Digital Realty Paris PAR2,,Paris
,2,53.463112,M15 6SE,['pdb'],-2.236869,2,GB,51,76,[],Manchester Science ParkLloyd Street North,2643123,"Equinix MA1 - Manchester, Williams/Kilburn",,Manchester
,1,53.464349,M15 5RN,['pdb'],-2.247614,2,GB,52,78,[],Reynolds HouseTechnopark4 Archway,2643123,"Equinix MA2 - Manchester, Reynolds House",,Manchester
,3,51.500621,E14 9FJ,['pdb'],-0.011758,8592,GB,53,79,[],"Memaco House, Meridian Gate215 Marsh Wall",2643743,Digital Realty London LHR21,,London
AMSTNL,4,52.396814,1042 AB,['pdb'],4.838579,2,NL,54,80,[],Gyroscoopweg 2E & 2F,2759794,"Equinix AM8 - Amsterdam, Gyroscoopweg",,Amsterdam
,4,47.432702,8152,['pdb'],8.557273,8592,CH,55,81,[],Sägereistrasse 35,2660590,Digital Realty Zurich ZUR1,Zürich,Glattbrugg
,1,47.387702,8005,['pdb'],8.519008,2,CH,56,82,[],Hardstrasse 235,2657896,Equinix ZH1 - No longer operational,ZH,Zurich
,6,47.387749,8005,['pdb'],8.520255,2,CH,57,83,[],Josefstrasse 225,2657896,Equinix ZH2 - Zurich,ZH,Zurich
STTLWA,5,47.614358,98121,['pdb'],-122.338864,2,US,58,86,[],2001 Sixth Avenue,5809844,Equinix SE2/SE3 - Seattle,WA,Seattle
VINNVA,2,38.908422,22180,['pdb'],-77.219692,2,US,59,88,[],7990 Science Applications CtSuite 1,4791160,"Equinix DC7 - Ashburn, Vienna",VA,Vienna
LSANCA,4,34.048897,90017,['pdb'],-118.259585,2,US,60,102,[],818 W 7th St6th Floor,5368361,Equinix LA2 - Los Angeles,CA,Los Angeles
LSANCA,1,,90017,['pdb'],,2,US,61,103,[],"1200 W. 7th StLower Level 1, Suite 120",5368361,Equinix LA5 - Los Angeles,CA,Los Angeles
AMSTNL,8,52.356671,1098 XG,['pdb'],4.952501,8592,NL,62,104,[],Science Park 121,2759794,Digital Realty Amsterdam AMS9,,Amsterdam
,6,51.18827,D-40599,['pdb'],6.86722,8592,DE,63,106,[],In der Steele 29,2934246,Digital Realty Dusseldorf DUS1-2,Nordrhein-Westfalen,Düsseldorf
FRNKGE,4,50.096962,60326,['pdb'],8.630057,7,DE,64,108,[],Kleyerstrasse 75-87,2925533,Telehouse - Frankfurt,,Frankfurt
,2,48.139859,80687,['pdb'],11.526173,8735,DE,65,109,[],Landsberger Str. 155,2867714,EdgeConneX Munich (EDCMUC01),,Munich
,,50.103483,65760,['pdb'],8.636254,174,DE,66,111,[],Schwalbacher Strasse 60,2925533,ColoCenter Frankfurt,,Frankfurt
,1,52.236979,7521 PE,['pdb'],6.84964,2,NL,67,118,[],Auke Vleerstraat 1,2756071,Equinix EN1 - Enschede,OV,Enschede
,2,50.081709,60528,['pdb'],8.623156,8592,DE,68,119,[],Lyoner Strasse 28,2925533,Digital Realty Frankfurt FRA28,Hessia,Frankfurt
NYCMNY,3,40.72,10013,['pdb'],-74.004561,8592,US,69,120,[],32 6th Ave (Avenue of the Americas),5128581,Digital Realty NYC (32 AofA),NY,New York
,3,40.461575,28033,['pdb'],-3.65969,136,ES,70,121,[],Gran Via de Hortaleza 3Mesena 80,3117735,Espanix Datacenter,,Madrid
,3,41.351557,08038,['pdb'],2.137457,2,ES,71,122,[],Carrer de l'Acer 30-32,3128760,Equinix BA1 - Barcelona,,Barcelona
ATLNGA,3,33.755456,30303,['pdb'],-84.39153,8592,US,72,125,[],56 Marietta Street,4180439,Digital Realty ATL (56 Marietta),GA,Atlanta
,4,38.787919,2685,['pdb'],-9.123454,2,PT,73,126,[],Avenida Severiano Falcão 142685-378 Prior Velho,2267057,Equinix LS1 - Lisbon,,Lisbon
,4,40.536855,28108,['pdb'],-3.648584,2,ES,74,127,[],Calle Valgrande 6,3130583,Equinix MD2 - Madrid,Madrid,Alcobendas
,1,47.546259,4053,['pdb'],7.582093,200,CH,75,129,[],Dachsfelderstrasse 17,2661604,IWB Basel,,Basel
,6,40.439323,28037,['pdb'],-3.621211,8592,ES,76,130,[],C/ Albasanz 71,3117735,Digital Realty Madrid MAD1-2,,Madrid
SYDNAU,5,-33.921868,2020,['pdb'],151.188025,2,AU,77,131,[],639 Gardeners RoadMascot,2147714,Equinix SY1/SY2 - Sydney,NSW,Sydney
,,50.116391,60313,['pdb'],8.678206,2,DE,78,133,[],Taubenstrasse 7-9,2925533,Equinix FR1 - No longer operational,,Frankfurt
,3,50.857721,1140,['pdb'],4.412116,682,BE,79,135,[],Leon Grosjeanlaan 2,2800866,Level(3) Brussels,,Brussels
,1,41.387314,E-08034,['pdb'],2.111883,9273,ES,80,138,[],"Gran Capita, 2 - 4 (Edifici Nexus)",3128760,CSUC Campus Nord,,Barcelona
,2,46.203607,1204,['pdb'],6.144251,2,CH,81,139,[],Rue de la Confédération 6,2660646,"Equinix GV1 - Geneva, City",GE,Geneva
,1,35.686406,100-0004,['pdb'],139.764809,7,JP,82,142,[],"Otemachi BuildingOtemachi, Chiyoda-ku",1850147,Telehouse – TOKYO Otemachi (KDDI Otemachi),,Tokyo
,3,37.488139,,['pdb'],127.051167,113,KR,83,143,[],"5F, Daelim Acrotel, 13, Eonju-ro 30-gil, Gangnam-gu",1835848,KINX Dogok,,Seoul
VINNVA,2,38.931419,22180,['pdb'],-77.238951,2,US,84,144,[],8502A Tyco Rd,4791160,"Equinix DC8 - Ashburn, Vienna",VA,Vienna
,1,39.959668,19108,['pdb'],-75.161377,2,US,85,146,[],401 North Broad Street,4560349,Equinix PH1 - Philadelphia,PA,Philadelphia
,7,55.728092,2750,['pdb'],12.377482,8592,DK,86,148,[],Industriparken 20ABallerup,2618425,Digital Realty Copenhagen CPH1-3,,Copenhagen
,14,55.652639,"117485,",['pdb'],37.528861,237,RU,87,152,[],"7, Butlerova street",524901,Moscow M9,,Moscow
,2,51.18819,40599,['pdb'],6.86728,682,DE,88,153,[],In Der Steele 37A,2934246,Level(3) Duesseldorf,North Rhine-Westphalia,Düsseldorf
,1,45.476177,20153,['pdb'],9.103887,244,IT,89,154,[],Via Caldera 21 - Easy Point (Building F),3173435,Telnet Caldera Milan,Italy,Milan
BRLNGE,5,52.465779,12103,['pdb'],13.369905,248,DE,90,155,[],Alboinstr. 36 - 42Alboin-Kontor,2950159,Speedbone Berlin,DE,Berlin
,11,59.362574,S-161 02,['pdb'],17.955657,2,SE,91,156,[],Mariehällsvägen 36,2673730,"Equinix SK1 - Stockholm, Bromma",,Stockholm
,1,46.964845,3006,['pdb'],7.478187,945,CH,92,157,[],Wölflistrasse 1D3006 Bern,2661552,colobern.ch Bern,Bern,Bern
,7,55.662,2630,['pdb'],12.301459,942,DK,93,158,[],Hørskætten 3-5 and 122630 Taastrup,2611828,GlobalConnect Taastrup 1 (CPH1),,Taastrup
,1,-27.465681,4000,['pdb'],153.027805,260,AU,94,159,[],"Level 9,127 Creek St",2174003,PIPE Networks Brisbane,QL,BRISBANE
,1,-33.872665,2000,['pdb'],151.207641,260,AU,95,160,[],"Level 13,2 Park St,",2147714,PIPE Networks Sydney,NS,SYDNEY
,1,-37.819171,3000,['pdb'],144.956726,260,AU,96,161,[],"Level 3,55 King St",2158177,PIPE Networks Melbourne,VI,MELBOURNE
,2,-34.927233,5000,['pdb'],138.594121,260,AU,97,162,[],"Level 2,132 Franklin St",2078025,PIPE Networks Adelaide,SA,Adelaide
,1,-42.881849,7000,['pdb'],147.328921,260,AU,98,163,[],"Level 2,29 Elizabeth St",2163355,PIPE Networks Hobart,TA,HOBART
,3,53.296306,,['pdb'],-6.41897,2,IE,99,164,[],"Unit 4027, Kingswood RoadCity West Business Campus, Saggart",2964574,"Equinix DB1 - Dublin, CityWest",,Dublin
,5,-23.497589,06455000,['pdb'],-46.814577,2,BR,100,165,[],"Av. Ceci, 1900 - Res. TamboreTamboré",3470353,Equinix SP4 - São Paulo,,Barueri
VANCBC,5,49.284697,V6B 4N6,['pdb'],-123.111935,271,CA,101,167,[],555 West Hastings St.,6173331,Harbour Centre Vancouver,BC,Vancouver
EQTKJP,2,35.576366,143-0006,['pdb'],139.749055,2,JP,102,168,[],"TRC-C Building B Block, 4F 5-1Heiwajima 6-Chome, Oota-Ku",1850147,Equinix TY1 - Tokyo,,Tokyo
,4,22.365581,,['pdb'],114.11932,2,HK,103,170,[],17/F Global Gateway (Hong Kong)168 Yeung Uk Road,6930520,Equinix HK1 - Hong Kong,Hong Kong,Tsuen Wan
PHNXAZ,3,33.452003,85004,['pdb'],-112.072042,8592,US,104,171,[],120 East Van Buren Street,5308655,Digital Realty PHX (120 E Van Buren),AZ,Phoenix
SNVACA,1,37.373412,95051,['pdb'],-121.98778,682,US,105,176,[],1380 Kifer Rd.,5400075,Level(3) Sunnyvale,CA,Sunnyvale
,2,53.334251,,['pdb'],-6.365538,8592,IE,106,177,[],Unit 35 Lavery AvenuePark West Business Park,2964574,Digital Realty Dublin DUB1-2,,Dublin
,3,53.318647,,['pdb'],-6.439957,2,IE,107,178,[],Kilcarbery Business ParkNangor Road,2964574,"Equinix DB2 - Dublin, Kilcarbery",,Dublin
